System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,13:20:40.715,0.00,0.17,0.00,0.67,0.01,0.02,0.55,0.05,0.01,0.02,0.00,0.00,1.08,6.36,240.84,0.34,8.45,0.00,0.03,0.49,0.48,0.00,99.02,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.01,0.02,0.55,0.05,0.01,0.02,0.00,0.00,N/A,1.08,6.36,240.84,0.34,8.45,0.00,0.03,0.49,0.48,0.00,99.02,100.00,0.00,0.00,0.00,
2023-05-04,13:20:40.815,0.00,0.15,0.00,0.67,0.00,0.01,0.79,0.06,0.00,0.01,0.00,0.00,1.08,7.05,238.68,0.31,7.65,0.00,0.03,0.55,0.59,0.00,98.86,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.67,0.00,0.01,0.79,0.06,0.00,0.01,0.00,0.00,N/A,1.08,7.05,238.68,0.31,7.65,0.00,0.03,0.55,0.59,0.00,98.86,100.00,0.00,0.00,0.00,
2023-05-04,13:20:40.916,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,0.91,5.29,240.94,0.34,8.55,0.00,0.02,0.41,0.39,0.00,99.20,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,N/A,0.91,5.29,240.94,0.34,8.55,0.00,0.02,0.41,0.39,0.00,99.20,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.016,0.00,0.23,0.00,0.67,0.00,0.01,0.91,0.08,0.00,0.01,0.00,0.00,1.08,4.63,240.86,0.47,11.65,0.00,0.03,0.36,0.32,0.25,99.07,100.00,0.00,0.00,0.00,0.00,0.23,0.00,0.67,0.00,0.01,0.91,0.08,0.00,0.01,0.00,0.00,N/A,1.08,4.63,240.86,0.47,11.65,0.00,0.03,0.36,0.32,0.25,99.07,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.116,0.00,0.14,0.00,0.67,0.00,0.01,0.85,0.06,0.00,0.01,0.00,0.00,1.07,7.55,238.55,0.28,7.07,0.00,0.03,0.59,0.65,0.30,98.46,100.00,0.00,0.00,0.00,0.00,0.14,0.00,0.67,0.00,0.01,0.85,0.06,0.00,0.01,0.00,0.00,N/A,1.07,7.55,238.55,0.28,7.07,0.00,0.03,0.59,0.65,0.30,98.46,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.217,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.68,3.73,240.94,0.37,9.15,0.00,0.02,0.29,0.21,0.00,99.50,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.68,3.73,240.94,0.37,9.15,0.00,0.02,0.29,0.21,0.00,99.50,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.316,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.80,4.81,238.57,0.33,8.30,0.00,0.02,0.38,0.34,0.00,99.28,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.80,4.81,238.57,0.33,8.30,0.00,0.02,0.38,0.34,0.00,99.28,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.417,0.00,0.16,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,0.85,5.45,240.96,0.31,7.77,0.00,0.02,0.42,0.43,0.31,98.84,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,N/A,0.85,5.45,240.96,0.31,7.77,0.00,0.02,0.42,0.43,0.31,98.84,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.518,0.00,0.20,0.00,0.67,0.00,0.01,0.78,0.12,0.00,0.01,0.00,0.00,1.05,5.13,240.74,0.41,10.21,0.00,0.03,0.40,0.34,0.00,99.26,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.78,0.12,0.00,0.01,0.00,0.00,N/A,1.05,5.13,240.74,0.41,10.21,0.00,0.03,0.40,0.34,0.00,99.26,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.617,0.00,0.20,0.00,0.67,0.00,0.02,0.79,0.13,0.00,0.01,0.00,0.00,1.65,8.19,238.62,0.40,10.06,0.00,0.04,0.64,0.69,0.00,98.66,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.02,0.79,0.13,0.00,0.01,0.00,0.00,N/A,1.65,8.19,238.62,0.40,10.06,0.00,0.04,0.64,0.69,0.00,98.66,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.718,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,0.83,4.85,240.84,0.34,8.52,0.00,0.02,0.38,0.35,0.10,99.17,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,N/A,0.83,4.85,240.84,0.34,8.52,0.00,0.02,0.38,0.35,0.10,99.17,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.818,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.73,4.12,238.55,0.35,8.82,0.00,0.02,0.32,0.26,0.00,99.42,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.73,4.12,238.55,0.35,8.82,0.00,0.02,0.32,0.26,0.00,99.42,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.917,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.76,4.31,238.59,0.35,8.81,0.00,0.02,0.34,0.29,0.00,99.37,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.76,4.31,238.59,0.35,8.81,0.00,0.02,0.34,0.29,0.00,99.37,100.00,0.00,0.00,0.00,
2023-05-04,13:20:42.018,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.77,4.22,240.91,0.37,9.13,0.00,0.02,0.33,0.26,0.00,99.41,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.77,4.22,240.91,0.37,9.13,0.00,0.02,0.33,0.26,0.00,99.41,100.00,0.00,0.00,0.00,
2023-05-04,13:20:42.118,0.00,0.16,0.00,0.67,0.00,0.01,0.76,0.07,0.00,0.01,0.00,0.00,0.95,5.80,238.58,0.33,8.18,0.00,0.02,0.46,0.45,0.00,99.09,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.76,0.07,0.00,0.01,0.00,0.00,N/A,0.95,5.80,238.58,0.33,8.18,0.00,0.02,0.46,0.45,0.00,99.09,100.00,0.00,0.00,0.00,
2023-05-04,13:20:42.218,0.00,0.15,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.86,5.68,240.96,0.30,7.54,0.00,0.02,0.44,0.43,0.00,99.13,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.86,5.68,240.96,0.30,7.54,0.00,0.02,0.44,0.43,0.00,99.13,100.00,0.00,0.00,0.00,
2023-05-04,13:20:42.318,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,0.98,5.27,238.55,0.37,9.29,0.00,0.03,0.41,0.41,0.00,99.17,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,N/A,0.98,5.27,238.55,0.37,9.29,0.00,0.03,0.41,0.41,0.00,99.17,100.00,0.00,0.00,0.00,
2023-05-04,13:20:42.417,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.69,3.52,238.54,0.39,9.74,0.00,0.02,0.28,0.22,0.00,99.50,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.69,3.52,238.54,0.39,9.74,0.00,0.02,0.28,0.22,0.00,99.50,100.00,0.00,0.00,0.00,
2023-05-04,13:20:42.518,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,0.79,4.72,240.84,0.34,8.42,0.00,0.02,0.37,0.31,0.15,99.17,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,N/A,0.79,4.72,240.84,0.34,8.42,0.00,0.02,0.37,0.31,0.15,99.17,100.00,0.00,0.00,0.00,
2023-05-04,13:20:42.618,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,0.80,4.81,238.45,0.33,8.33,0.00,0.02,0.38,0.35,0.05,99.21,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,N/A,0.80,4.81,238.45,0.33,8.33,0.00,0.02,0.38,0.35,0.05,99.21,100.00,0.00,0.00,0.00,
