System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,13:18:20.309,0.00,0.17,0.00,0.68,0.00,0.01,0.76,0.06,0.00,0.01,0.00,0.00,1.00,5.99,241.06,0.33,8.31,0.00,0.03,0.46,0.54,0.57,98.43,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.68,0.00,0.01,0.76,0.06,0.00,0.01,0.00,0.00,N/A,1.00,5.99,241.06,0.33,8.31,0.00,0.03,0.46,0.54,0.57,98.43,100.00,0.00,0.00,0.00,
2023-05-04,13:18:20.410,0.00,0.18,0.00,0.68,0.01,0.02,0.70,0.05,0.00,0.01,0.00,0.00,1.67,9.32,241.11,0.36,8.97,0.00,0.04,0.71,0.77,0.00,98.53,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.68,0.01,0.02,0.70,0.05,0.00,0.01,0.00,0.00,N/A,1.67,9.32,241.11,0.36,8.97,0.00,0.04,0.71,0.77,0.00,98.53,100.00,0.00,0.00,0.00,
2023-05-04,13:18:20.510,0.00,0.19,0.00,0.67,0.00,0.01,0.79,0.06,0.00,0.01,0.00,0.00,1.17,6.28,238.49,0.37,9.27,0.00,0.03,0.49,0.47,0.00,99.04,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.79,0.06,0.00,0.01,0.00,0.00,N/A,1.17,6.28,238.49,0.37,9.27,0.00,0.03,0.49,0.47,0.00,99.04,100.00,0.00,0.00,0.00,
2023-05-04,13:18:20.610,0.00,0.20,0.00,0.67,0.00,0.01,0.78,0.07,0.00,0.01,0.00,0.00,1.16,5.90,240.95,0.39,9.83,0.00,0.03,0.46,0.46,0.00,99.08,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.78,0.07,0.00,0.01,0.00,0.00,N/A,1.16,5.90,240.95,0.39,9.83,0.00,0.03,0.46,0.46,0.00,99.08,100.00,0.00,0.00,0.00,
2023-05-04,13:18:20.710,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.79,4.17,238.53,0.38,9.41,0.00,0.02,0.33,0.27,0.00,99.41,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.79,4.17,238.53,0.38,9.41,0.00,0.02,0.33,0.27,0.00,99.41,100.00,0.00,0.00,0.00,
2023-05-04,13:18:20.811,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.14,0.00,0.01,0.00,0.00,0.67,3.35,240.94,0.40,10.00,0.00,0.02,0.26,0.17,0.00,99.57,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.14,0.00,0.01,0.00,0.00,N/A,0.67,3.35,240.94,0.40,10.00,0.00,0.02,0.26,0.17,0.00,99.57,100.00,0.00,0.00,0.00,
2023-05-04,13:18:20.911,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.76,4.08,240.95,0.37,9.33,0.00,0.02,0.32,0.24,0.00,99.45,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.76,4.08,240.95,0.37,9.33,0.00,0.02,0.32,0.24,0.00,99.45,100.00,0.00,0.00,0.00,
2023-05-04,13:18:21.011,0.00,0.20,0.00,0.67,0.00,0.01,0.75,0.08,0.00,0.01,0.00,0.00,0.87,4.45,238.55,0.39,9.77,0.00,0.02,0.35,0.30,0.00,99.35,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.75,0.08,0.00,0.01,0.00,0.00,N/A,0.87,4.45,238.55,0.39,9.77,0.00,0.02,0.35,0.30,0.00,99.35,100.00,0.00,0.00,0.00,
2023-05-04,13:18:21.112,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.79,4.12,240.93,0.39,9.63,0.00,0.02,0.32,0.26,0.00,99.42,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.79,4.12,240.93,0.39,9.63,0.00,0.02,0.32,0.26,0.00,99.42,100.00,0.00,0.00,0.00,
