System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,13:24:45.173,0.00,0.15,0.00,0.67,0.00,0.01,0.93,0.09,0.00,0.01,0.00,0.00,0.76,5.13,241.04,0.29,7.37,0.00,0.02,0.40,0.40,0.00,99.21,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.67,0.00,0.01,0.93,0.09,0.00,0.01,0.00,0.00,N/A,0.76,5.13,241.04,0.29,7.37,0.00,0.02,0.40,0.40,0.00,99.21,100.00,0.00,0.00,0.00,
2023-05-04,13:24:45.274,0.00,0.24,0.00,0.67,0.00,0.02,0.89,0.17,0.00,0.01,0.00,0.00,2.16,8.84,241.08,0.49,12.21,0.00,0.06,0.69,0.73,0.30,98.28,100.00,0.00,0.00,0.00,0.00,0.24,0.00,0.67,0.00,0.02,0.89,0.17,0.00,0.01,0.00,0.00,N/A,2.16,8.84,241.08,0.49,12.21,0.00,0.06,0.69,0.73,0.30,98.28,100.00,0.00,0.00,0.00,
2023-05-04,13:24:45.374,0.00,0.17,0.00,0.67,0.01,0.02,0.62,0.05,0.01,0.02,0.00,0.00,1.22,7.10,238.56,0.34,8.59,0.00,0.03,0.56,0.62,0.66,98.17,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.01,0.02,0.62,0.05,0.01,0.02,0.00,0.00,N/A,1.22,7.10,238.56,0.34,8.59,0.00,0.03,0.56,0.62,0.66,98.17,100.00,0.00,0.00,0.00,
2023-05-04,13:24:45.474,0.00,0.16,0.00,0.67,0.00,0.01,0.95,0.10,0.00,0.01,0.00,0.00,0.82,5.08,240.95,0.32,8.06,0.00,0.02,0.40,0.36,0.00,99.25,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.95,0.10,0.00,0.01,0.00,0.00,N/A,0.82,5.08,240.95,0.32,8.06,0.00,0.02,0.40,0.36,0.00,99.25,100.00,0.00,0.00,0.00,
2023-05-04,13:24:45.575,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.77,4.08,240.85,0.38,9.49,0.00,0.02,0.32,0.26,0.08,99.33,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.77,4.08,240.85,0.38,9.49,0.00,0.02,0.32,0.26,0.08,99.33,100.00,0.00,0.00,0.00,
2023-05-04,13:24:45.675,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,0.79,4.39,238.60,0.36,9.02,0.00,0.02,0.35,0.26,0.00,99.40,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,N/A,0.79,4.39,238.60,0.36,9.02,0.00,0.02,0.35,0.26,0.00,99.40,100.00,0.00,0.00,0.00,
2023-05-04,13:24:45.775,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.74,3.63,240.96,0.41,10.18,0.00,0.02,0.28,0.20,0.00,99.52,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.74,3.63,240.96,0.41,10.18,0.00,0.02,0.28,0.20,0.00,99.52,100.00,0.00,0.00,0.00,
2023-05-04,13:24:45.875,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,0.74,3.87,238.52,0.38,9.54,0.00,0.02,0.30,0.24,0.00,99.45,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,N/A,0.74,3.87,238.52,0.38,9.54,0.00,0.02,0.30,0.24,0.00,99.45,100.00,0.00,0.00,0.00,
2023-05-04,13:24:45.976,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.15,0.00,0.01,0.00,0.00,0.80,4.17,240.99,0.39,9.65,0.00,0.02,0.32,0.22,0.00,99.45,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.15,0.00,0.01,0.00,0.00,N/A,0.80,4.17,240.99,0.39,9.65,0.00,0.02,0.32,0.22,0.00,99.45,100.00,0.00,0.00,0.00,
