System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,13:16:17.907,0.00,0.15,0.00,0.67,0.00,0.01,0.93,0.07,0.00,0.01,0.00,0.00,0.87,5.79,240.93,0.30,7.53,0.00,0.02,0.45,0.53,0.00,99.02,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.67,0.00,0.01,0.93,0.07,0.00,0.01,0.00,0.00,N/A,0.87,5.79,240.93,0.30,7.53,0.00,0.02,0.45,0.53,0.00,99.02,100.00,0.00,0.00,0.00,
2023-05-04,13:16:18.006,0.00,0.16,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.88,5.52,238.64,0.32,8.00,0.00,0.02,0.43,0.40,0.05,99.12,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.88,5.52,238.64,0.32,8.00,0.00,0.02,0.43,0.40,0.05,99.12,100.00,0.00,0.00,0.00,
2023-05-04,13:16:18.107,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.78,4.28,240.88,0.36,9.10,0.00,0.02,0.33,0.27,0.11,99.29,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.78,4.28,240.88,0.36,9.10,0.00,0.02,0.33,0.27,0.11,99.29,100.00,0.00,0.00,0.00,
2023-05-04,13:16:18.208,0.00,0.15,0.00,0.67,0.01,0.02,0.68,0.06,0.00,0.01,0.00,0.00,1.14,7.67,240.90,0.30,7.40,0.00,0.03,0.60,0.58,0.31,98.52,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.67,0.01,0.02,0.68,0.06,0.00,0.01,0.00,0.00,N/A,1.14,7.67,240.90,0.30,7.40,0.00,0.03,0.60,0.58,0.31,98.52,100.00,0.00,0.00,0.00,
2023-05-04,13:16:18.307,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.80,4.22,238.51,0.38,9.48,0.00,0.02,0.33,0.28,0.39,99.00,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.80,4.22,238.51,0.38,9.48,0.00,0.02,0.33,0.28,0.39,99.00,100.00,0.00,0.00,0.00,
2023-05-04,13:16:18.408,0.00,0.20,0.00,0.67,0.00,0.01,0.91,0.16,0.00,0.01,0.00,0.00,1.51,7.50,240.90,0.40,10.06,0.00,0.04,0.58,0.60,0.47,98.34,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.91,0.16,0.00,0.01,0.00,0.00,N/A,1.51,7.50,240.90,0.40,10.06,0.00,0.04,0.58,0.60,0.47,98.34,100.00,0.00,0.00,0.00,
2023-05-04,13:16:18.508,0.00,0.16,0.00,0.67,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,0.81,4.90,238.51,0.33,8.23,0.00,0.02,0.39,0.34,0.09,99.19,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,N/A,0.81,4.90,238.51,0.33,8.23,0.00,0.02,0.39,0.34,0.09,99.19,100.00,0.00,0.00,0.00,
2023-05-04,13:16:18.607,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,0.68,3.59,238.52,0.38,9.41,0.00,0.02,0.28,0.20,0.19,99.33,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,N/A,0.68,3.59,238.52,0.38,9.41,0.00,0.02,0.28,0.20,0.19,99.33,100.00,0.00,0.00,0.00,
2023-05-04,13:16:18.708,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,0.78,4.68,240.91,0.33,8.29,0.00,0.02,0.36,0.30,0.00,99.34,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,N/A,0.78,4.68,240.91,0.33,8.29,0.00,0.02,0.36,0.30,0.00,99.34,100.00,0.00,0.00,0.00,
