System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,13:22:42.979,0.00,0.15,0.00,0.69,0.00,0.01,0.77,0.07,0.00,0.01,0.00,0.00,0.77,5.26,241.02,0.29,7.30,0.00,0.02,0.40,0.35,0.00,99.26,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.69,0.00,0.01,0.77,0.07,0.00,0.01,0.00,0.00,N/A,0.77,5.26,241.02,0.29,7.30,0.00,0.02,0.40,0.35,0.00,99.26,100.00,0.00,0.00,0.00,
2023-05-04,13:22:43.078,0.00,0.17,0.00,0.69,0.00,0.01,0.96,0.07,0.00,0.01,0.00,0.00,1.00,5.81,238.69,0.35,8.63,0.00,0.03,0.44,0.40,0.00,99.16,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.69,0.00,0.01,0.96,0.07,0.00,0.01,0.00,0.00,N/A,1.00,5.81,238.69,0.35,8.63,0.00,0.03,0.44,0.40,0.00,99.16,100.00,0.00,0.00,0.00,
2023-05-04,13:22:43.178,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,0.79,4.12,238.53,0.38,9.62,0.00,0.02,0.32,0.26,0.00,99.42,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,N/A,0.79,4.12,238.53,0.38,9.62,0.00,0.02,0.32,0.26,0.00,99.42,100.00,0.00,0.00,0.00,
2023-05-04,13:22:43.279,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,0.76,4.29,240.91,0.35,8.84,0.00,0.02,0.33,0.27,0.00,99.40,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,N/A,0.76,4.29,240.91,0.35,8.84,0.00,0.02,0.33,0.27,0.00,99.40,100.00,0.00,0.00,0.00,
2023-05-04,13:22:43.378,0.00,0.16,0.01,0.67,0.01,0.02,0.73,0.10,0.00,0.01,0.00,0.00,1.96,12.26,238.50,0.32,7.97,0.00,0.05,0.96,0.96,0.00,98.07,100.00,0.00,0.00,0.00,0.00,0.16,0.01,0.67,0.01,0.02,0.73,0.10,0.00,0.01,0.00,0.00,N/A,1.96,12.26,238.50,0.32,7.97,0.00,0.05,0.96,0.96,0.00,98.07,100.00,0.00,0.00,0.00,
2023-05-04,13:22:43.479,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,0.82,4.65,240.94,0.35,8.82,0.00,0.02,0.36,0.29,0.00,99.35,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,N/A,0.82,4.65,240.94,0.35,8.82,0.00,0.02,0.36,0.29,0.00,99.35,100.00,0.00,0.00,0.00,
2023-05-04,13:22:43.580,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.08,0.00,0.01,0.00,0.00,0.86,4.51,240.90,0.38,9.50,0.00,0.02,0.35,0.27,0.00,99.38,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.08,0.00,0.01,0.00,0.00,N/A,0.86,4.51,240.90,0.38,9.50,0.00,0.02,0.35,0.27,0.00,99.38,100.00,0.00,0.00,0.00,
2023-05-04,13:22:43.679,0.00,0.20,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,0.81,4.10,238.51,0.40,9.90,0.00,0.02,0.32,0.26,0.00,99.42,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,N/A,0.81,4.10,238.51,0.40,9.90,0.00,0.02,0.32,0.26,0.00,99.42,100.00,0.00,0.00,0.00,
2023-05-04,13:22:43.780,0.00,0.18,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.79,4.35,240.89,0.36,9.11,0.00,0.02,0.34,0.25,0.00,99.41,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.79,4.35,240.89,0.36,9.11,0.00,0.02,0.34,0.25,0.00,99.41,100.00,0.00,0.00,0.00,
2023-05-04,13:22:43.880,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.09,0.00,0.01,0.00,0.00,0.78,4.63,238.53,0.34,8.39,0.00,0.02,0.36,0.29,0.00,99.35,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.09,0.00,0.01,0.00,0.00,N/A,0.78,4.63,238.53,0.34,8.39,0.00,0.02,0.36,0.29,0.00,99.35,100.00,0.00,0.00,0.00,
2023-05-04,13:22:43.980,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,0.72,3.88,240.93,0.37,9.25,0.00,0.02,0.30,0.21,0.00,99.49,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,N/A,0.72,3.88,240.93,0.37,9.25,0.00,0.02,0.30,0.21,0.00,99.49,100.00,0.00,0.00,0.00,
2023-05-04,13:22:44.081,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.80,4.77,240.94,0.34,8.39,0.00,0.02,0.37,0.32,0.00,99.31,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.80,4.77,240.94,0.34,8.39,0.00,0.02,0.37,0.32,0.00,99.31,100.00,0.00,0.00,0.00,
2023-05-04,13:22:44.181,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,0.80,4.09,238.51,0.39,9.75,0.00,0.02,0.32,0.24,0.00,99.43,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,N/A,0.80,4.09,238.51,0.39,9.75,0.00,0.02,0.32,0.24,0.00,99.43,100.00,0.00,0.00,0.00,
2023-05-04,13:22:44.281,0.00,0.25,0.00,0.67,0.00,0.01,0.92,0.16,0.00,0.01,0.00,0.00,1.18,4.73,241.03,0.50,12.49,0.00,0.03,0.37,0.29,0.00,99.34,100.00,0.00,0.00,0.00,0.00,0.25,0.00,0.67,0.00,0.01,0.92,0.16,0.00,0.01,0.00,0.00,N/A,1.18,4.73,241.03,0.50,12.49,0.00,0.03,0.37,0.29,0.00,99.34,100.00,0.00,0.00,0.00,
2023-05-04,13:22:44.381,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,0.78,4.57,238.53,0.34,8.57,0.00,0.02,0.36,0.28,0.00,99.36,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,N/A,0.78,4.57,238.53,0.34,8.57,0.00,0.02,0.36,0.28,0.00,99.36,100.00,0.00,0.00,0.00,
2023-05-04,13:22:44.480,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.08,0.00,0.01,0.00,0.00,0.85,5.14,238.48,0.33,8.30,0.00,0.02,0.40,0.33,0.00,99.26,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.08,0.00,0.01,0.00,0.00,N/A,0.85,5.14,238.48,0.33,8.30,0.00,0.02,0.40,0.33,0.00,99.26,100.00,0.00,0.00,0.00,
2023-05-04,13:22:44.581,0.00,0.27,0.00,0.67,0.00,0.01,0.90,0.22,0.00,0.01,0.00,0.00,1.91,7.01,240.93,0.54,13.62,0.00,0.05,0.55,0.47,0.00,98.98,100.00,0.00,0.00,0.00,0.00,0.27,0.00,0.67,0.00,0.01,0.90,0.22,0.00,0.01,0.00,0.00,N/A,1.91,7.01,240.93,0.54,13.62,0.00,0.05,0.55,0.47,0.00,98.98,100.00,0.00,0.00,0.00,
2023-05-04,13:22:44.681,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,0.78,4.23,238.72,0.37,9.28,0.00,0.02,0.33,0.22,0.00,99.45,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,N/A,0.78,4.23,238.72,0.37,9.28,0.00,0.02,0.33,0.22,0.00,99.45,100.00,0.00,0.00,0.00,
2023-05-04,13:22:44.781,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.14,0.00,0.01,0.00,0.00,0.70,3.93,240.90,0.36,8.94,0.00,0.02,0.31,0.22,0.89,98.59,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.14,0.00,0.01,0.00,0.00,N/A,0.70,3.93,240.90,0.36,8.94,0.00,0.02,0.31,0.22,0.89,98.59,100.00,0.00,0.00,0.00,
2023-05-04,13:22:44.881,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.09,0.00,0.01,0.00,0.00,0.73,4.23,238.51,0.35,8.63,0.00,0.02,0.33,0.26,0.00,99.40,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.09,0.00,0.01,0.00,0.00,N/A,0.73,4.23,238.51,0.35,8.63,0.00,0.02,0.33,0.26,0.00,99.40,100.00,0.00,0.00,0.00,
2023-05-04,13:22:44.981,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.08,0.00,0.01,0.00,0.00,0.79,4.60,238.50,0.35,8.63,0.00,0.02,0.36,0.28,0.00,99.35,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.08,0.00,0.01,0.00,0.00,N/A,0.79,4.60,238.50,0.35,8.63,0.00,0.02,0.36,0.28,0.00,99.35,100.00,0.00,0.00,0.00,
2023-05-04,13:22:45.081,0.00,0.15,0.00,0.67,0.00,0.01,0.97,0.07,0.00,0.01,0.00,0.00,0.94,6.17,240.88,0.31,7.65,0.00,0.02,0.48,0.44,0.00,99.08,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.67,0.00,0.01,0.97,0.07,0.00,0.01,0.00,0.00,N/A,0.94,6.17,240.88,0.31,7.65,0.00,0.02,0.48,0.44,0.00,99.08,100.00,0.00,0.00,0.00,
2023-05-04,13:22:45.181,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,0.75,3.93,238.50,0.38,9.59,0.00,0.02,0.31,0.23,0.00,99.47,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,N/A,0.75,3.93,238.50,0.38,9.59,0.00,0.02,0.31,0.23,0.00,99.47,100.00,0.00,0.00,0.00,
2023-05-04,13:22:45.282,0.00,0.19,0.00,0.67,0.00,0.01,0.96,0.10,0.00,0.01,0.00,0.00,0.76,4.04,240.88,0.38,9.43,0.00,0.02,0.31,0.23,0.00,99.45,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.96,0.10,0.00,0.01,0.00,0.00,N/A,0.76,4.04,240.88,0.38,9.43,0.00,0.02,0.31,0.23,0.00,99.45,100.00,0.00,0.00,0.00,
