System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,13:26:47.511,0.00,0.12,0.00,0.67,0.00,0.01,0.96,0.06,0.00,0.01,0.00,0.00,0.94,8.06,240.94,0.23,5.86,0.00,0.02,0.63,0.67,0.00,98.70,100.00,0.00,0.00,0.00,0.00,0.12,0.00,0.67,0.00,0.01,0.96,0.06,0.00,0.01,0.00,0.00,N/A,0.94,8.06,240.94,0.23,5.86,0.00,0.02,0.63,0.67,0.00,98.70,100.00,0.00,0.00,0.00,
2023-05-04,13:26:47.612,0.00,0.17,0.00,0.67,0.00,0.01,0.95,0.07,0.00,0.01,0.00,0.00,1.07,6.40,241.06,0.34,8.38,0.00,0.03,0.50,0.50,0.00,99.00,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.95,0.07,0.00,0.01,0.00,0.00,N/A,1.07,6.40,241.06,0.34,8.38,0.00,0.03,0.50,0.50,0.00,99.00,100.00,0.00,0.00,0.00,
2023-05-04,13:26:47.711,0.00,0.16,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.88,5.67,238.53,0.31,7.76,0.00,0.02,0.45,0.39,0.00,99.16,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.88,5.67,238.53,0.31,7.76,0.00,0.02,0.45,0.39,0.00,99.16,100.00,0.00,0.00,0.00,
2023-05-04,13:26:47.812,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.74,4.14,240.87,0.36,8.99,0.00,0.02,0.32,0.24,0.00,99.44,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.74,4.14,240.87,0.36,8.99,0.00,0.02,0.32,0.24,0.00,99.44,100.00,0.00,0.00,0.00,
2023-05-04,13:26:47.911,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.76,4.25,238.41,0.36,8.92,0.00,0.02,0.33,0.26,0.19,99.22,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.76,4.25,238.41,0.36,8.92,0.00,0.02,0.33,0.26,0.19,99.22,100.00,0.00,0.00,0.00,
2023-05-04,13:26:48.011,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.16,0.00,0.01,0.00,0.00,0.66,3.30,238.36,0.40,10.05,0.00,0.02,0.26,0.18,0.00,99.56,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.16,0.00,0.01,0.00,0.00,N/A,0.66,3.30,238.36,0.40,10.05,0.00,0.02,0.26,0.18,0.00,99.56,100.00,0.00,0.00,0.00,
2023-05-04,13:26:48.112,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.77,4.34,240.82,0.36,8.88,0.00,0.02,0.34,0.27,0.10,99.29,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.77,4.34,240.82,0.36,8.88,0.00,0.02,0.34,0.27,0.10,99.29,100.00,0.00,0.00,0.00,
2023-05-04,13:26:48.211,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,0.75,3.92,238.65,0.38,9.52,0.00,0.02,0.31,0.21,0.00,99.48,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,N/A,0.75,3.92,238.65,0.38,9.52,0.00,0.02,0.31,0.21,0.00,99.48,100.00,0.00,0.00,0.00,
2023-05-04,13:26:48.311,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.76,4.24,238.30,0.36,8.98,0.00,0.02,0.33,0.28,0.00,99.39,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.76,4.24,238.30,0.36,8.98,0.00,0.02,0.33,0.28,0.00,99.39,100.00,0.00,0.00,0.00,
2023-05-04,13:26:48.411,0.00,0.25,0.00,0.67,0.00,0.01,0.92,0.18,0.00,0.01,0.00,0.00,1.39,5.53,240.94,0.50,12.57,0.00,0.04,0.43,0.39,0.11,99.07,100.00,0.00,0.00,0.00,0.00,0.25,0.00,0.67,0.00,0.01,0.92,0.18,0.00,0.01,0.00,0.00,N/A,1.39,5.53,240.94,0.50,12.57,0.00,0.04,0.43,0.39,0.11,99.07,100.00,0.00,0.00,0.00,
2023-05-04,13:26:48.511,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.81,4.36,238.50,0.37,9.24,0.00,0.02,0.34,0.27,0.00,99.38,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.81,4.36,238.50,0.37,9.24,0.00,0.02,0.34,0.27,0.00,99.38,100.00,0.00,0.00,0.00,
2023-05-04,13:26:48.612,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,0.81,4.65,240.92,0.35,8.72,0.00,0.02,0.36,0.28,0.13,99.22,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,N/A,0.81,4.65,240.92,0.35,8.72,0.00,0.02,0.36,0.28,0.13,99.22,100.00,0.00,0.00,0.00,
2023-05-04,13:26:48.712,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.14,0.00,0.01,0.00,0.00,0.89,4.81,241.02,0.37,9.28,0.00,0.02,0.37,0.30,0.00,99.32,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.14,0.00,0.01,0.00,0.00,N/A,0.89,4.81,241.02,0.37,9.28,0.00,0.02,0.37,0.30,0.00,99.32,100.00,0.00,0.00,0.00,
