System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:35:46.098,0.00,0.15,0.00,0.68,0.01,0.02,0.62,0.05,0.01,0.02,0.00,0.00,1.29,8.75,241.05,0.29,7.36,0.00,0.03,0.67,0.74,0.00,98.59,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.68,0.01,0.02,0.62,0.05,0.01,0.02,0.00,0.00,N/A,1.29,8.75,241.05,0.29,7.36,0.00,0.03,0.67,0.74,0.00,98.59,100.00,0.00,0.00,0.00,
2023-05-04,11:35:46.198,0.00,0.18,0.00,0.69,0.01,0.02,0.59,0.06,0.01,0.01,0.00,0.00,1.25,6.97,238.79,0.36,8.99,0.00,0.03,0.53,0.53,0.00,98.94,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.69,0.01,0.02,0.59,0.06,0.01,0.01,0.00,0.00,N/A,1.25,6.97,238.79,0.36,8.99,0.00,0.03,0.53,0.53,0.00,98.94,100.00,0.00,0.00,0.00,
2023-05-04,11:35:46.299,0.00,0.16,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,0.87,5.54,240.91,0.32,7.89,0.00,0.02,0.43,0.41,0.14,99.02,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,N/A,0.87,5.54,240.91,0.32,7.89,0.00,0.02,0.43,0.41,0.14,99.02,100.00,0.00,0.00,0.00,
2023-05-04,11:35:46.398,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.74,3.76,238.57,0.39,9.85,0.00,0.02,0.30,0.25,0.00,99.46,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.74,3.76,238.57,0.39,9.85,0.00,0.02,0.30,0.25,0.00,99.46,100.00,0.00,0.00,0.00,
2023-05-04,11:35:46.499,0.00,0.20,0.00,0.67,0.00,0.01,0.90,0.16,0.00,0.01,0.00,0.00,1.64,8.15,240.97,0.40,10.05,0.00,0.04,0.63,0.65,0.00,98.72,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.90,0.16,0.00,0.01,0.00,0.00,N/A,1.64,8.15,240.97,0.40,10.05,0.00,0.04,0.63,0.65,0.00,98.72,100.00,0.00,0.00,0.00,
2023-05-04,11:35:46.600,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.13,0.00,0.01,0.00,0.00,0.69,3.75,240.98,0.37,9.21,0.00,0.02,0.29,0.22,0.00,99.49,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.13,0.00,0.01,0.00,0.00,N/A,0.69,3.75,240.98,0.37,9.21,0.00,0.02,0.29,0.22,0.00,99.49,100.00,0.00,0.00,0.00,
2023-05-04,11:35:46.699,0.00,0.20,0.00,0.67,0.00,0.01,0.64,0.07,0.00,0.01,0.00,0.00,1.04,5.31,238.61,0.39,9.79,0.00,0.03,0.42,0.37,0.00,99.21,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.64,0.07,0.00,0.01,0.00,0.00,N/A,1.04,5.31,238.61,0.39,9.79,0.00,0.03,0.42,0.37,0.00,99.21,100.00,0.00,0.00,0.00,
2023-05-04,11:35:46.800,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,0.71,4.03,240.97,0.35,8.77,0.00,0.02,0.31,0.25,0.14,99.30,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,N/A,0.71,4.03,240.97,0.35,8.77,0.00,0.02,0.31,0.25,0.14,99.30,100.00,0.00,0.00,0.00,
2023-05-04,11:35:46.900,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,0.79,4.39,238.57,0.36,8.98,0.00,0.02,0.34,0.30,0.00,99.35,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,N/A,0.79,4.39,238.57,0.36,8.98,0.00,0.02,0.34,0.30,0.00,99.35,100.00,0.00,0.00,0.00,
2023-05-04,11:35:47.000,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,0.78,4.40,241.00,0.35,8.81,0.00,0.02,0.34,0.29,0.00,99.37,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,N/A,0.78,4.40,241.00,0.35,8.81,0.00,0.02,0.34,0.29,0.00,99.37,100.00,0.00,0.00,0.00,
2023-05-04,11:35:47.100,0.00,0.26,0.00,0.67,0.00,0.01,0.86,0.18,0.00,0.01,0.00,0.00,1.51,5.71,238.59,0.53,13.23,0.00,0.04,0.45,0.40,0.00,99.16,100.00,0.00,0.00,0.00,0.00,0.26,0.00,0.67,0.00,0.01,0.86,0.18,0.00,0.01,0.00,0.00,N/A,1.51,5.71,238.59,0.53,13.23,0.00,0.04,0.45,0.40,0.00,99.16,100.00,0.00,0.00,0.00,
2023-05-04,11:35:47.200,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.15,0.00,0.01,0.00,0.00,0.70,3.76,238.58,0.37,9.29,0.00,0.02,0.30,0.21,0.00,99.49,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.15,0.00,0.01,0.00,0.00,N/A,0.70,3.76,238.58,0.37,9.29,0.00,0.02,0.30,0.21,0.00,99.49,100.00,0.00,0.00,0.00,
2023-05-04,11:35:47.300,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.86,4.95,241.04,0.35,8.66,0.00,0.02,0.39,0.35,0.03,99.23,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.86,4.95,241.04,0.35,8.66,0.00,0.02,0.39,0.35,0.03,99.23,100.00,0.00,0.00,0.00,
2023-05-04,11:35:47.400,0.00,0.20,0.00,0.67,0.00,0.01,0.75,0.09,0.00,0.01,0.00,0.00,0.89,4.54,238.56,0.39,9.77,0.00,0.02,0.36,0.28,0.00,99.37,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.75,0.09,0.00,0.01,0.00,0.00,N/A,0.89,4.54,238.56,0.39,9.77,0.00,0.02,0.36,0.28,0.00,99.37,100.00,0.00,0.00,0.00,
2023-05-04,11:35:47.501,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.90,5.38,240.99,0.33,8.34,0.00,0.02,0.42,0.40,0.00,99.18,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.90,5.38,240.99,0.33,8.34,0.00,0.02,0.42,0.40,0.00,99.18,100.00,0.00,0.00,0.00,
2023-05-04,11:35:47.600,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,0.68,3.81,238.58,0.36,8.96,0.00,0.02,0.30,0.21,0.00,99.49,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,N/A,0.68,3.81,238.58,0.36,8.96,0.00,0.02,0.30,0.21,0.00,99.49,100.00,0.00,0.00,0.00,
2023-05-04,11:35:47.701,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,1.01,5.34,240.93,0.38,9.50,0.00,0.03,0.42,0.38,0.00,99.21,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,1.01,5.34,240.93,0.38,9.50,0.00,0.03,0.42,0.38,0.00,99.21,100.00,0.00,0.00,0.00,
2023-05-04,11:35:47.802,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.13,0.00,0.01,0.00,0.00,0.70,3.75,240.89,0.38,9.40,0.00,0.02,0.29,0.20,0.00,99.51,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.13,0.00,0.01,0.00,0.00,N/A,0.70,3.75,240.89,0.38,9.40,0.00,0.02,0.29,0.20,0.00,99.51,100.00,0.00,0.00,0.00,
2023-05-04,11:35:47.901,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.82,4.57,238.52,0.36,8.94,0.00,0.02,0.36,0.30,0.00,99.34,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.82,4.57,238.52,0.36,8.94,0.00,0.02,0.36,0.30,0.00,99.34,100.00,0.00,0.00,0.00,
