System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:57:29.802,0.00,0.16,0.00,0.68,0.01,0.02,0.66,0.07,0.01,0.01,0.00,0.00,1.06,6.55,241.00,0.32,8.07,0.00,0.03,0.50,0.51,0.00,98.99,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.68,0.01,0.02,0.66,0.07,0.01,0.01,0.00,0.00,N/A,1.06,6.55,241.00,0.32,8.07,0.00,0.03,0.50,0.51,0.00,98.99,100.00,0.00,0.00,0.00,
2023-05-04,11:57:29.902,0.00,0.18,0.00,0.67,0.00,0.01,0.96,0.10,0.00,0.01,0.00,0.00,0.87,4.92,238.72,0.35,8.81,0.00,0.02,0.39,0.38,0.00,99.24,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.96,0.10,0.00,0.01,0.00,0.00,N/A,0.87,4.92,238.72,0.35,8.81,0.00,0.02,0.39,0.38,0.00,99.24,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.003,0.00,0.21,0.00,0.67,0.00,0.01,0.73,0.11,0.00,0.01,0.00,0.00,1.22,5.87,240.90,0.42,10.43,0.00,0.03,0.46,0.43,0.00,99.11,100.00,0.00,0.00,0.00,0.00,0.21,0.00,0.67,0.00,0.01,0.73,0.11,0.00,0.01,0.00,0.00,N/A,1.22,5.87,240.90,0.42,10.43,0.00,0.03,0.46,0.43,0.00,99.11,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.103,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.13,0.00,0.01,0.00,0.00,0.67,3.46,240.96,0.39,9.71,0.00,0.02,0.27,0.20,0.00,99.53,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.13,0.00,0.01,0.00,0.00,N/A,0.67,3.46,240.96,0.39,9.71,0.00,0.02,0.27,0.20,0.00,99.53,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.203,0.00,0.16,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.81,5.01,238.53,0.32,8.06,0.00,0.02,0.39,0.34,0.00,99.26,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.81,5.01,238.53,0.32,8.06,0.00,0.02,0.39,0.34,0.00,99.26,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.304,0.00,0.20,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.79,4.02,240.95,0.39,9.78,0.00,0.02,0.31,0.25,0.00,99.43,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.79,4.02,240.95,0.39,9.78,0.00,0.02,0.31,0.25,0.00,99.43,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.403,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.77,4.22,238.54,0.37,9.13,0.00,0.02,0.33,0.28,0.00,99.38,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.77,4.22,238.54,0.37,9.13,0.00,0.02,0.33,0.28,0.00,99.38,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.504,0.00,0.24,0.00,0.67,0.00,0.01,0.91,0.17,0.00,0.01,0.00,0.00,1.47,6.04,240.83,0.49,12.16,0.00,0.04,0.47,0.52,0.11,98.90,100.00,0.00,0.00,0.00,0.00,0.24,0.00,0.67,0.00,0.01,0.91,0.17,0.00,0.01,0.00,0.00,N/A,1.47,6.04,240.83,0.49,12.16,0.00,0.04,0.47,0.52,0.11,98.90,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.605,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,0.84,4.52,240.93,0.37,9.25,0.00,0.02,0.35,0.29,0.00,99.36,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,N/A,0.84,4.52,240.93,0.37,9.25,0.00,0.02,0.35,0.29,0.00,99.36,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.704,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,0.73,4.21,238.61,0.35,8.63,0.00,0.02,0.33,0.25,0.00,99.42,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,N/A,0.73,4.21,238.61,0.35,8.63,0.00,0.02,0.33,0.25,0.00,99.42,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.805,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.77,4.02,240.92,0.38,9.58,0.00,0.02,0.31,0.26,0.00,99.43,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.77,4.02,240.92,0.38,9.58,0.00,0.02,0.31,0.26,0.00,99.43,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.905,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.72,3.75,238.55,0.38,9.59,0.00,0.02,0.29,0.21,0.00,99.49,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.72,3.75,238.55,0.38,9.59,0.00,0.02,0.29,0.21,0.00,99.49,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.004,0.00,0.18,0.00,0.67,0.00,0.01,0.96,0.10,0.00,0.01,0.00,0.00,0.92,5.05,238.60,0.36,9.11,0.00,0.02,0.40,0.35,0.00,99.26,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.96,0.10,0.00,0.01,0.00,0.00,N/A,0.92,5.05,238.60,0.36,9.11,0.00,0.02,0.40,0.35,0.00,99.26,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.105,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.12,0.00,0.01,0.00,0.00,0.77,4.01,240.85,0.38,9.56,0.00,0.02,0.31,0.25,0.00,99.44,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.12,0.00,0.01,0.00,0.00,N/A,0.77,4.01,240.85,0.38,9.56,0.00,0.02,0.31,0.25,0.00,99.44,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.204,0.00,0.18,0.00,0.67,0.00,0.01,0.95,0.10,0.00,0.01,0.00,0.00,0.87,4.74,238.54,0.37,9.18,0.00,0.02,0.37,0.33,0.00,99.30,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.95,0.10,0.00,0.01,0.00,0.00,N/A,0.87,4.74,238.54,0.37,9.18,0.00,0.02,0.37,0.33,0.00,99.30,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.305,0.00,0.22,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.95,4.41,240.93,0.43,10.81,0.00,0.02,0.34,0.33,0.00,99.33,100.00,0.00,0.00,0.00,0.00,0.22,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.95,4.41,240.93,0.43,10.81,0.00,0.02,0.34,0.33,0.00,99.33,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.406,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.78,4.41,240.99,0.36,8.88,0.00,0.02,0.34,0.26,0.00,99.39,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.78,4.41,240.99,0.36,8.88,0.00,0.02,0.34,0.26,0.00,99.39,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.505,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.72,3.88,238.53,0.37,9.25,0.00,0.02,0.31,0.24,0.00,99.46,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.72,3.88,238.53,0.37,9.25,0.00,0.02,0.31,0.24,0.00,99.46,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.606,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.75,4.22,240.92,0.36,8.94,0.00,0.02,0.33,0.26,0.00,99.41,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.75,4.22,240.92,0.36,8.94,0.00,0.02,0.33,0.26,0.00,99.41,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.706,0.00,0.17,0.00,0.67,0.00,0.01,0.77,0.08,0.00,0.01,0.00,0.00,0.92,5.34,238.54,0.35,8.64,0.00,0.02,0.42,0.39,0.00,99.19,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.77,0.08,0.00,0.01,0.00,0.00,N/A,0.92,5.34,238.54,0.35,8.64,0.00,0.02,0.42,0.39,0.00,99.19,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.806,0.00,0.22,0.00,0.67,0.00,0.01,0.87,0.24,0.00,0.01,0.00,0.00,1.61,7.36,240.96,0.44,10.93,0.00,0.04,0.57,0.64,0.00,98.79,100.00,0.00,0.00,0.00,0.00,0.22,0.00,0.67,0.00,0.01,0.87,0.24,0.00,0.01,0.00,0.00,N/A,1.61,7.36,240.96,0.44,10.93,0.00,0.04,0.57,0.64,0.00,98.79,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.907,0.00,0.19,0.00,0.67,0.00,0.01,0.74,0.09,0.00,0.01,0.00,0.00,0.81,4.18,240.93,0.39,9.70,0.00,0.02,0.33,0.25,0.00,99.42,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.74,0.09,0.00,0.01,0.00,0.00,N/A,0.81,4.18,240.93,0.39,9.70,0.00,0.02,0.33,0.25,0.00,99.42,100.00,0.00,0.00,0.00,
2023-05-04,11:57:32.007,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,0.86,4.92,238.54,0.35,8.73,0.00,0.02,0.39,0.33,0.00,99.28,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,N/A,0.86,4.92,238.54,0.35,8.73,0.00,0.02,0.39,0.33,0.00,99.28,100.00,0.00,0.00,0.00,
2023-05-04,11:57:32.107,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.69,3.75,240.93,0.37,9.23,0.00,0.02,0.29,0.21,0.00,99.49,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.69,3.75,240.93,0.37,9.23,0.00,0.02,0.29,0.21,0.00,99.49,100.00,0.00,0.00,0.00,
2023-05-04,11:57:32.207,0.00,0.16,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,0.85,5.20,238.76,0.33,8.22,0.00,0.02,0.41,0.37,0.00,99.23,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,N/A,0.85,5.20,238.76,0.33,8.22,0.00,0.02,0.41,0.37,0.00,99.23,100.00,0.00,0.00,0.00,
2023-05-04,11:57:32.308,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.71,3.62,240.93,0.39,9.74,0.00,0.02,0.28,0.22,0.00,99.50,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.71,3.62,240.93,0.39,9.74,0.00,0.02,0.28,0.22,0.00,99.50,100.00,0.00,0.00,0.00,
2023-05-04,11:57:32.408,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,0.77,3.85,241.09,0.40,9.98,0.00,0.02,0.30,0.23,0.08,99.38,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,N/A,0.77,3.85,241.09,0.40,9.98,0.00,0.02,0.30,0.23,0.08,99.38,100.00,0.00,0.00,0.00,
