System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:38:10.675,0.00,0.20,0.01,0.67,0.00,0.02,0.89,0.16,0.00,0.01,0.00,0.00,2.00,10.04,241.21,0.40,9.97,0.00,0.05,0.77,0.90,0.00,98.33,100.00,0.00,0.00,0.00,0.00,0.20,0.01,0.67,0.00,0.02,0.89,0.16,0.00,0.01,0.00,0.00,N/A,2.00,10.04,241.21,0.40,9.97,0.00,0.05,0.77,0.90,0.00,98.33,100.00,0.00,0.00,0.00,
2023-05-04,11:38:10.776,0.00,0.18,0.00,0.68,0.00,0.01,0.94,0.07,0.00,0.01,0.00,0.00,1.07,6.13,241.04,0.35,8.76,0.00,0.03,0.47,0.50,0.00,99.04,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.68,0.00,0.01,0.94,0.07,0.00,0.01,0.00,0.00,N/A,1.07,6.13,241.04,0.35,8.76,0.00,0.03,0.47,0.50,0.00,99.04,100.00,0.00,0.00,0.00,
2023-05-04,11:38:10.875,0.00,0.22,0.00,0.67,0.00,0.01,0.90,0.14,0.00,0.01,0.00,0.00,1.07,4.86,238.53,0.44,11.01,0.00,0.03,0.38,0.33,0.22,99.06,100.00,0.00,0.00,0.00,0.00,0.22,0.00,0.67,0.00,0.01,0.90,0.14,0.00,0.01,0.00,0.00,N/A,1.07,4.86,238.53,0.44,11.01,0.00,0.03,0.38,0.33,0.22,99.06,100.00,0.00,0.00,0.00,
2023-05-04,11:38:10.976,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.78,4.14,240.95,0.38,9.38,0.00,0.02,0.32,0.28,0.00,99.40,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.78,4.14,240.95,0.38,9.38,0.00,0.02,0.32,0.28,0.00,99.40,100.00,0.00,0.00,0.00,
2023-05-04,11:38:11.077,0.00,0.16,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,0.85,5.37,240.92,0.32,7.89,0.00,0.02,0.42,0.37,0.00,99.21,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,N/A,0.85,5.37,240.92,0.32,7.89,0.00,0.02,0.42,0.37,0.00,99.21,100.00,0.00,0.00,0.00,
2023-05-04,11:38:11.176,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.14,0.00,0.01,0.00,0.00,0.79,4.08,238.56,0.39,9.75,0.00,0.02,0.32,0.27,0.00,99.41,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.14,0.00,0.01,0.00,0.00,N/A,0.79,4.08,238.56,0.39,9.75,0.00,0.02,0.32,0.27,0.00,99.41,100.00,0.00,0.00,0.00,
2023-05-04,11:38:11.277,0.00,0.26,0.00,0.67,0.00,0.01,0.91,0.21,0.00,0.01,0.00,0.00,1.35,5.25,240.96,0.52,12.89,0.00,0.04,0.41,0.36,0.00,99.23,100.00,0.00,0.00,0.00,0.00,0.26,0.00,0.67,0.00,0.01,0.91,0.21,0.00,0.01,0.00,0.00,N/A,1.35,5.25,240.96,0.52,12.89,0.00,0.04,0.41,0.36,0.00,99.23,100.00,0.00,0.00,0.00,
2023-05-04,11:38:11.377,0.00,0.16,0.00,0.67,0.00,0.01,0.98,0.08,0.00,0.01,0.00,0.00,0.89,5.54,238.55,0.32,8.00,0.00,0.02,0.44,0.45,0.00,99.11,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.98,0.08,0.00,0.01,0.00,0.00,N/A,0.89,5.54,238.55,0.32,8.00,0.00,0.02,0.44,0.45,0.00,99.11,100.00,0.00,0.00,0.00,
2023-05-04,11:38:11.477,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.15,0.00,0.01,0.00,0.00,0.75,3.99,240.93,0.37,9.34,0.00,0.02,0.31,0.23,0.00,99.46,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.15,0.00,0.01,0.00,0.00,N/A,0.75,3.99,240.93,0.37,9.34,0.00,0.02,0.31,0.23,0.00,99.46,100.00,0.00,0.00,0.00,
