System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:47:49.783,0.00,0.17,0.00,0.67,0.01,0.01,0.59,0.08,0.01,0.02,0.00,0.00,0.90,5.19,241.07,0.35,8.68,0.00,0.02,0.40,0.39,0.00,99.21,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.01,0.01,0.59,0.08,0.01,0.02,0.00,0.00,N/A,0.90,5.19,241.07,0.35,8.68,0.00,0.02,0.40,0.39,0.00,99.21,100.00,0.00,0.00,0.00,
2023-05-04,11:47:49.883,0.00,0.14,0.00,0.67,0.01,0.02,0.69,0.06,0.00,0.01,0.00,0.00,1.23,8.61,238.69,0.29,7.16,0.00,0.03,0.68,0.76,0.00,98.56,100.00,0.00,0.00,0.00,0.00,0.14,0.00,0.67,0.01,0.02,0.69,0.06,0.00,0.01,0.00,0.00,N/A,1.23,8.61,238.69,0.29,7.16,0.00,0.03,0.68,0.76,0.00,98.56,100.00,0.00,0.00,0.00,
2023-05-04,11:47:49.984,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,0.79,4.21,240.90,0.37,9.35,0.00,0.02,0.33,0.28,0.00,99.39,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,N/A,0.79,4.21,240.90,0.37,9.35,0.00,0.02,0.33,0.28,0.00,99.39,100.00,0.00,0.00,0.00,
2023-05-04,11:47:50.083,0.00,0.20,0.00,0.67,0.00,0.01,0.97,0.12,0.00,0.01,0.00,0.00,0.74,3.68,238.54,0.40,10.00,0.00,0.02,0.29,0.22,0.00,99.49,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.97,0.12,0.00,0.01,0.00,0.00,N/A,0.74,3.68,238.54,0.40,10.00,0.00,0.02,0.29,0.22,0.00,99.49,100.00,0.00,0.00,0.00,
2023-05-04,11:47:50.184,0.00,0.24,0.00,0.67,0.00,0.01,0.92,0.09,0.00,0.01,0.00,0.00,1.13,4.77,240.93,0.47,11.79,0.00,0.03,0.37,0.34,0.00,99.28,100.00,0.00,0.00,0.00,0.00,0.24,0.00,0.67,0.00,0.01,0.92,0.09,0.00,0.01,0.00,0.00,N/A,1.13,4.77,240.93,0.47,11.79,0.00,0.03,0.37,0.34,0.00,99.28,100.00,0.00,0.00,0.00,
2023-05-04,11:47:50.284,0.00,0.26,0.00,0.67,0.00,0.01,0.91,0.20,0.00,0.01,0.00,0.00,1.38,5.33,240.94,0.52,12.93,0.00,0.04,0.42,0.39,0.00,99.19,100.00,0.00,0.00,0.00,0.00,0.26,0.00,0.67,0.00,0.01,0.91,0.20,0.00,0.01,0.00,0.00,N/A,1.38,5.33,240.94,0.52,12.93,0.00,0.04,0.42,0.39,0.00,99.19,100.00,0.00,0.00,0.00,
2023-05-04,11:47:50.384,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.77,4.07,238.47,0.38,9.45,0.00,0.02,0.32,0.28,0.02,99.38,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.77,4.07,238.47,0.38,9.45,0.00,0.02,0.32,0.28,0.02,99.38,100.00,0.00,0.00,0.00,
2023-05-04,11:47:50.485,0.00,0.20,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.97,4.80,240.87,0.40,10.10,0.00,0.03,0.37,0.34,0.12,99.17,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.97,4.80,240.87,0.40,10.10,0.00,0.03,0.37,0.34,0.12,99.17,100.00,0.00,0.00,0.00,
2023-05-04,11:47:50.585,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.14,0.00,0.01,0.00,0.00,0.76,4.03,240.94,0.38,9.48,0.00,0.02,0.31,0.24,0.00,99.45,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.14,0.00,0.01,0.00,0.00,N/A,0.76,4.03,240.94,0.38,9.48,0.00,0.02,0.31,0.24,0.00,99.45,100.00,0.00,0.00,0.00,
