System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:40:35.179,0.00,0.15,0.00,0.68,0.01,0.01,0.63,0.06,0.01,0.02,0.00,0.00,0.89,6.01,241.07,0.30,7.43,0.00,0.02,0.46,0.46,0.00,99.08,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.68,0.01,0.01,0.63,0.06,0.01,0.02,0.00,0.00,N/A,0.89,6.01,241.07,0.30,7.43,0.00,0.02,0.46,0.46,0.00,99.08,100.00,0.00,0.00,0.00,
2023-05-04,11:40:35.279,0.00,0.18,0.00,0.67,0.00,0.01,0.95,0.08,0.00,0.01,0.00,0.00,1.07,5.96,238.65,0.36,8.99,0.00,0.03,0.47,0.48,0.00,99.05,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.95,0.08,0.00,0.01,0.00,0.00,N/A,1.07,5.96,238.65,0.36,8.99,0.00,0.03,0.47,0.48,0.00,99.05,100.00,0.00,0.00,0.00,
2023-05-04,11:40:35.380,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.12,0.00,0.01,0.00,0.00,0.78,4.01,240.93,0.39,9.73,0.00,0.02,0.31,0.24,0.00,99.45,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.12,0.00,0.01,0.00,0.00,N/A,0.78,4.01,240.93,0.39,9.73,0.00,0.02,0.31,0.24,0.00,99.45,100.00,0.00,0.00,0.00,
2023-05-04,11:40:35.480,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,0.66,3.31,240.92,0.40,10.02,0.00,0.02,0.26,0.20,0.31,99.24,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,N/A,0.66,3.31,240.92,0.40,10.02,0.00,0.02,0.26,0.20,0.31,99.24,100.00,0.00,0.00,0.00,
2023-05-04,11:40:35.580,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.76,4.36,238.54,0.35,8.67,0.00,0.02,0.34,0.27,0.00,99.38,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.76,4.36,238.54,0.35,8.67,0.00,0.02,0.34,0.27,0.00,99.38,100.00,0.00,0.00,0.00,
2023-05-04,11:40:35.681,0.00,0.17,0.00,0.67,0.00,0.01,0.92,0.15,0.00,0.01,0.00,0.00,1.60,9.59,240.92,0.33,8.35,0.00,0.04,0.75,0.79,0.07,98.40,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.92,0.15,0.00,0.01,0.00,0.00,N/A,1.60,9.59,240.92,0.33,8.35,0.00,0.04,0.75,0.79,0.07,98.40,100.00,0.00,0.00,0.00,
2023-05-04,11:40:35.780,0.00,0.20,0.00,0.67,0.00,0.01,0.93,0.08,0.00,0.01,0.00,0.00,1.07,5.25,238.45,0.41,10.19,0.00,0.03,0.41,0.40,0.10,99.09,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.93,0.08,0.00,0.01,0.00,0.00,N/A,1.07,5.25,238.45,0.41,10.19,0.00,0.03,0.41,0.40,0.10,99.09,100.00,0.00,0.00,0.00,
2023-05-04,11:40:35.880,0.00,0.21,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,0.70,3.36,238.53,0.42,10.43,0.00,0.02,0.26,0.19,0.00,99.55,100.00,0.00,0.00,0.00,0.00,0.21,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,N/A,0.70,3.36,238.53,0.42,10.43,0.00,0.02,0.26,0.19,0.00,99.55,100.00,0.00,0.00,0.00,
2023-05-04,11:40:35.981,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.71,3.54,240.93,0.40,10.00,0.00,0.02,0.28,0.19,0.00,99.53,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.71,3.54,240.93,0.40,10.00,0.00,0.02,0.28,0.19,0.00,99.53,100.00,0.00,0.00,0.00,
