System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:42:59.775,0.00,0.16,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,0.64,3.91,240.99,0.32,8.12,0.00,0.02,0.30,0.30,0.02,99.38,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,N/A,0.64,3.91,240.99,0.32,8.12,0.00,0.02,0.30,0.30,0.02,99.38,100.00,0.00,0.00,0.00,
2023-05-04,11:42:59.875,0.00,0.18,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.91,5.12,238.78,0.35,8.85,0.00,0.02,0.40,0.42,0.31,98.86,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.91,5.12,238.78,0.35,8.85,0.00,0.02,0.40,0.42,0.31,98.86,100.00,0.00,0.00,0.00,
2023-05-04,11:42:59.976,0.00,0.16,0.00,0.67,0.00,0.01,0.96,0.08,0.00,0.01,0.00,0.00,0.87,5.58,240.90,0.31,7.77,0.00,0.02,0.43,0.46,0.00,99.11,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.96,0.08,0.00,0.01,0.00,0.00,N/A,0.87,5.58,240.90,0.31,7.77,0.00,0.02,0.43,0.46,0.00,99.11,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.075,0.00,0.20,0.00,0.67,0.00,0.01,0.95,0.09,0.00,0.01,0.00,0.00,0.86,4.30,238.55,0.40,9.98,0.00,0.02,0.34,0.28,0.00,99.38,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.95,0.09,0.00,0.01,0.00,0.00,N/A,0.86,4.30,238.55,0.40,9.98,0.00,0.02,0.34,0.28,0.00,99.38,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.176,0.00,0.15,0.00,0.67,0.00,0.01,0.96,0.08,0.00,0.01,0.00,0.00,0.93,6.23,240.93,0.30,7.45,0.00,0.02,0.48,0.53,0.12,98.87,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.67,0.00,0.01,0.96,0.08,0.00,0.01,0.00,0.00,N/A,0.93,6.23,240.93,0.30,7.45,0.00,0.02,0.48,0.53,0.12,98.87,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.277,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,0.83,4.46,240.95,0.37,9.35,0.00,0.02,0.35,0.33,0.12,99.20,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,N/A,0.83,4.46,240.95,0.37,9.35,0.00,0.02,0.35,0.33,0.12,99.20,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.376,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,0.75,4.05,238.53,0.37,9.28,0.00,0.02,0.32,0.26,0.00,99.42,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,N/A,0.75,4.05,238.53,0.37,9.28,0.00,0.02,0.32,0.26,0.00,99.42,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.477,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.78,4.17,240.93,0.38,9.38,0.00,0.02,0.32,0.28,0.00,99.40,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.78,4.17,240.93,0.38,9.38,0.00,0.02,0.32,0.28,0.00,99.40,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.577,0.00,0.21,0.00,0.67,0.00,0.01,0.97,0.19,0.00,0.01,0.00,0.00,0.87,4.14,238.44,0.42,10.50,0.00,0.02,0.33,0.22,0.00,99.46,100.00,0.00,0.00,0.00,0.00,0.21,0.00,0.67,0.00,0.01,0.97,0.19,0.00,0.01,0.00,0.00,N/A,0.87,4.14,238.44,0.42,10.50,0.00,0.02,0.33,0.22,0.00,99.46,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.677,0.00,0.20,0.00,0.67,0.00,0.01,0.91,0.14,0.00,0.01,0.00,0.00,1.65,8.31,240.95,0.40,9.92,0.00,0.04,0.65,0.74,0.08,98.53,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.91,0.14,0.00,0.01,0.00,0.00,N/A,1.65,8.31,240.95,0.40,9.92,0.00,0.04,0.65,0.74,0.08,98.53,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.778,0.00,0.21,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,0.67,3.16,240.94,0.43,10.64,0.00,0.02,0.25,0.16,0.00,99.60,100.00,0.00,0.00,0.00,0.00,0.21,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,N/A,0.67,3.16,240.94,0.43,10.64,0.00,0.02,0.25,0.16,0.00,99.60,100.00,0.00,0.00,0.00,
