System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:52:38.482,0.00,0.13,0.00,0.75,0.00,0.01,0.94,0.07,0.00,0.01,0.00,0.00,0.76,5.93,240.78,0.26,6.40,0.00,0.02,0.41,0.44,0.00,99.15,6.19,0.00,93.81,0.00,0.00,0.13,0.00,0.75,0.00,0.01,0.94,0.07,0.00,0.01,0.00,0.00,N/A,0.76,5.93,240.78,0.26,6.40,0.00,0.02,0.41,0.44,0.00,99.15,6.19,0.00,93.81,0.00,
2023-05-04,11:52:38.583,0.00,0.14,0.00,0.76,0.00,0.01,0.94,0.08,0.00,0.01,0.00,0.00,0.97,6.90,241.21,0.28,7.03,0.00,0.03,0.47,0.49,0.00,99.04,6.43,0.00,93.57,0.00,0.00,0.14,0.00,0.76,0.00,0.01,0.94,0.08,0.00,0.01,0.00,0.00,N/A,0.97,6.90,241.21,0.28,7.03,0.00,0.03,0.47,0.49,0.00,99.04,6.43,0.00,93.57,0.00,
2023-05-04,11:52:38.682,0.00,0.15,0.00,0.78,0.00,0.01,0.76,0.07,0.00,0.01,0.00,0.00,0.89,6.03,238.63,0.30,7.42,0.00,0.02,0.40,0.35,0.00,99.24,6.11,0.00,93.89,0.00,0.00,0.15,0.00,0.78,0.00,0.01,0.76,0.07,0.00,0.01,0.00,0.00,N/A,0.89,6.03,238.63,0.30,7.42,0.00,0.02,0.40,0.35,0.00,99.24,6.11,0.00,93.89,0.00,
2023-05-04,11:52:38.783,0.00,0.16,0.00,0.82,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,0.75,4.79,240.98,0.31,7.83,0.00,0.02,0.30,0.28,0.00,99.42,5.35,0.00,94.65,0.00,0.00,0.16,0.00,0.82,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,N/A,0.75,4.79,240.98,0.31,7.83,0.00,0.02,0.30,0.28,0.00,99.42,5.35,0.00,94.65,0.00,
2023-05-04,11:52:38.883,0.00,0.16,0.00,0.77,0.00,0.01,0.78,0.07,0.00,0.01,0.00,0.00,1.06,6.74,238.68,0.31,7.85,0.00,0.03,0.46,0.43,0.16,98.95,6.98,0.12,92.90,0.00,0.00,0.16,0.00,0.77,0.00,0.01,0.78,0.07,0.00,0.01,0.00,0.00,N/A,1.06,6.74,238.68,0.31,7.85,0.00,0.03,0.46,0.43,0.16,98.95,6.98,0.12,92.90,0.00,
2023-05-04,11:52:38.983,0.00,0.24,0.00,0.82,0.00,0.01,0.91,0.20,0.00,0.01,0.00,0.00,1.33,5.67,241.03,0.47,11.76,0.00,0.03,0.36,0.34,0.02,99.28,5.91,0.00,94.09,0.00,0.00,0.24,0.00,0.82,0.00,0.01,0.91,0.20,0.00,0.01,0.00,0.00,N/A,1.33,5.67,241.03,0.47,11.76,0.00,0.03,0.36,0.34,0.02,99.28,5.91,0.00,94.09,0.00,
2023-05-04,11:52:39.083,0.00,0.15,0.00,0.79,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.81,5.54,238.65,0.29,7.32,0.00,0.02,0.36,0.34,0.00,99.30,5.90,0.00,94.10,0.00,0.00,0.15,0.00,0.79,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.81,5.54,238.65,0.29,7.32,0.00,0.02,0.36,0.34,0.00,99.30,5.90,0.00,94.10,0.00,
2023-05-04,11:52:39.184,0.00,0.16,0.00,0.80,0.00,0.01,0.74,0.10,0.00,0.01,0.00,0.00,0.84,5.18,241.04,0.32,8.12,0.00,0.02,0.34,0.28,0.00,99.38,5.37,0.00,94.63,0.00,0.00,0.16,0.00,0.80,0.00,0.01,0.74,0.10,0.00,0.01,0.00,0.00,N/A,0.84,5.18,241.04,0.32,8.12,0.00,0.02,0.34,0.28,0.00,99.38,5.37,0.00,94.63,0.00,
2023-05-04,11:52:39.284,0.00,0.20,0.00,0.83,0.00,0.01,0.93,0.11,0.00,0.01,0.00,0.00,0.98,4.94,241.05,0.40,9.89,0.00,0.03,0.31,0.27,0.00,99.42,5.06,0.00,94.94,0.00,0.00,0.20,0.00,0.83,0.00,0.01,0.93,0.11,0.00,0.01,0.00,0.00,N/A,0.98,4.94,241.05,0.40,9.89,0.00,0.03,0.31,0.27,0.00,99.42,5.06,0.00,94.94,0.00,
