System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:55:04.266,0.00,0.14,0.00,0.79,0.01,0.01,0.60,0.06,0.01,0.02,0.00,0.00,0.75,5.23,240.65,0.29,7.15,0.00,0.02,0.34,0.35,0.94,98.36,5.95,3.55,90.50,0.00,0.00,0.14,0.00,0.79,0.01,0.01,0.60,0.06,0.01,0.02,0.00,0.00,N/A,0.75,5.23,240.65,0.29,7.15,0.00,0.02,0.34,0.35,0.94,98.36,5.95,3.55,90.50,0.00,
2023-05-04,11:55:04.367,0.00,0.16,0.00,0.76,0.00,0.01,0.74,0.08,0.00,0.01,0.00,0.00,0.90,5.75,241.09,0.31,7.82,0.00,0.02,0.39,0.40,0.52,98.69,6.00,1.68,92.32,0.00,0.00,0.16,0.00,0.76,0.00,0.01,0.74,0.08,0.00,0.01,0.00,0.00,N/A,0.90,5.75,241.09,0.31,7.82,0.00,0.02,0.39,0.40,0.52,98.69,6.00,1.68,92.32,0.00,
2023-05-04,11:55:04.466,0.00,0.14,0.00,0.80,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,0.79,5.50,238.64,0.29,7.22,0.00,0.02,0.36,0.31,0.00,99.32,5.60,0.00,94.40,0.00,0.00,0.14,0.00,0.80,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,N/A,0.79,5.50,238.64,0.29,7.22,0.00,0.02,0.36,0.31,0.00,99.32,5.60,0.00,94.40,0.00,
2023-05-04,11:55:04.567,0.00,0.14,0.00,0.80,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.82,5.66,241.03,0.29,7.24,0.00,0.02,0.37,0.33,0.00,99.30,5.36,0.00,94.64,0.00,0.00,0.14,0.00,0.80,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.82,5.66,241.03,0.29,7.24,0.00,0.02,0.37,0.33,0.00,99.30,5.36,0.00,94.64,0.00,
2023-05-04,11:55:04.667,0.00,0.14,0.00,0.79,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.81,5.77,238.53,0.28,7.02,0.00,0.02,0.38,0.38,0.08,99.15,6.36,0.22,93.43,0.00,0.00,0.14,0.00,0.79,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.81,5.77,238.53,0.28,7.02,0.00,0.02,0.38,0.38,0.08,99.15,6.36,0.22,93.43,0.00,
2023-05-04,11:55:04.767,0.00,0.15,0.00,0.82,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.73,4.78,241.05,0.31,7.66,0.00,0.02,0.30,0.26,0.00,99.43,5.23,0.00,94.77,0.00,0.00,0.15,0.00,0.82,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.73,4.78,241.05,0.31,7.66,0.00,0.02,0.30,0.26,0.00,99.43,5.23,0.00,94.77,0.00,
2023-05-04,11:55:04.867,0.00,0.17,0.00,0.82,0.00,0.01,0.97,0.12,0.00,0.01,0.00,0.00,0.79,4.75,238.72,0.33,8.37,0.00,0.02,0.30,0.26,0.00,99.43,4.89,0.00,95.11,0.00,0.00,0.17,0.00,0.82,0.00,0.01,0.97,0.12,0.00,0.01,0.00,0.00,N/A,0.79,4.75,238.72,0.33,8.37,0.00,0.02,0.30,0.26,0.00,99.43,4.89,0.00,95.11,0.00,
2023-05-04,11:55:04.968,0.00,0.19,0.00,0.78,0.00,0.01,0.76,0.14,0.00,0.01,0.00,0.00,1.50,7.72,241.08,0.39,9.74,0.00,0.04,0.52,0.50,0.00,98.98,6.68,0.00,93.32,0.00,0.00,0.19,0.00,0.78,0.00,0.01,0.76,0.14,0.00,0.01,0.00,0.00,N/A,1.50,7.72,241.08,0.39,9.74,0.00,0.04,0.52,0.50,0.00,98.98,6.68,0.00,93.32,0.00,
2023-05-04,11:55:05.068,0.00,0.15,0.00,0.83,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.68,4.47,241.02,0.30,7.58,0.00,0.02,0.28,0.22,0.00,99.51,4.96,0.00,95.04,0.00,0.00,0.15,0.00,0.83,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.68,4.47,241.02,0.30,7.58,0.00,0.02,0.28,0.22,0.00,99.51,4.96,0.00,95.04,0.00,
2023-05-04,11:55:05.168,0.00,0.15,0.00,0.80,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,0.84,5.64,238.60,0.30,7.49,0.00,0.02,0.37,0.35,0.00,99.28,5.74,0.00,94.26,0.00,0.00,0.15,0.00,0.80,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,N/A,0.84,5.64,238.60,0.30,7.49,0.00,0.02,0.37,0.35,0.00,99.28,5.74,0.00,94.26,0.00,
2023-05-04,11:55:05.269,0.00,0.16,0.00,0.83,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.69,4.42,241.04,0.31,7.81,0.00,0.02,0.27,0.25,0.00,99.48,5.06,0.00,94.94,0.00,0.00,0.16,0.00,0.83,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.69,4.42,241.04,0.31,7.81,0.00,0.02,0.27,0.25,0.00,99.48,5.06,0.00,94.94,0.00,
2023-05-04,11:55:05.368,0.00,0.16,0.00,0.78,0.00,0.01,0.77,0.07,0.00,0.01,0.00,0.00,0.92,5.90,238.65,0.31,7.77,0.00,0.02,0.40,0.39,0.00,99.21,5.99,0.00,94.01,0.00,0.00,0.16,0.00,0.78,0.00,0.01,0.77,0.07,0.00,0.01,0.00,0.00,N/A,0.92,5.90,238.65,0.31,7.77,0.00,0.02,0.40,0.39,0.00,99.21,5.99,0.00,94.01,0.00,
2023-05-04,11:55:05.469,0.00,0.21,0.01,0.72,0.00,0.04,0.91,0.08,0.00,0.01,0.00,0.00,3.70,17.62,241.00,0.42,10.51,0.00,0.10,1.26,2.03,0.31,96.40,15.47,0.06,84.47,0.00,0.00,0.21,0.01,0.72,0.00,0.04,0.91,0.08,0.00,0.01,0.00,0.00,N/A,3.70,17.62,241.00,0.42,10.51,0.00,0.10,1.26,2.03,0.31,96.40,15.47,0.06,84.47,0.00,
2023-05-04,11:55:05.569,0.00,0.23,0.01,0.75,0.00,0.03,0.94,0.12,0.00,0.01,0.00,0.00,2.78,12.20,238.39,0.46,11.39,0.00,0.07,0.86,2.19,0.53,96.42,12.57,0.93,86.51,0.00,0.00,0.23,0.01,0.75,0.00,0.03,0.94,0.12,0.00,0.01,0.00,0.00,N/A,2.78,12.20,238.39,0.46,11.39,0.00,0.07,0.86,2.19,0.53,96.42,12.57,0.93,86.51,0.00,
2023-05-04,11:55:05.668,0.00,0.15,0.00,0.75,0.00,0.01,0.96,0.05,0.00,0.01,0.00,0.00,1.22,8.38,238.60,0.29,7.25,0.00,0.03,0.59,0.74,1.00,97.68,8.21,3.55,88.24,0.00,0.00,0.15,0.00,0.75,0.00,0.01,0.96,0.05,0.00,0.01,0.00,0.00,N/A,1.22,8.38,238.60,0.29,7.25,0.00,0.03,0.59,0.74,1.00,97.68,8.21,3.55,88.24,0.00,
2023-05-04,11:55:05.769,0.00,0.11,0.01,0.72,0.00,0.02,0.95,0.05,0.00,0.01,0.00,0.00,1.37,12.63,240.97,0.22,5.42,0.00,0.04,0.91,1.16,0.05,97.88,10.08,0.00,89.92,0.00,0.00,0.11,0.01,0.72,0.00,0.02,0.95,0.05,0.00,0.01,0.00,0.00,N/A,1.37,12.63,240.97,0.22,5.42,0.00,0.04,0.91,1.16,0.05,97.88,10.08,0.00,89.92,0.00,
2023-05-04,11:55:05.869,0.00,0.18,0.00,0.82,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.90,4.86,238.63,0.37,9.23,0.00,0.02,0.31,0.24,0.00,99.45,5.10,0.00,94.90,0.00,0.00,0.18,0.00,0.82,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.90,4.86,238.63,0.37,9.23,0.00,0.02,0.31,0.24,0.00,99.45,5.10,0.00,94.90,0.00,
2023-05-04,11:55:05.969,0.00,0.14,0.00,0.78,0.00,0.01,0.98,0.08,0.00,0.01,0.00,0.00,0.87,6.21,240.99,0.28,7.04,0.00,0.02,0.41,0.45,0.00,99.14,6.82,0.00,93.18,0.00,0.00,0.14,0.00,0.78,0.00,0.01,0.98,0.08,0.00,0.01,0.00,0.00,N/A,0.87,6.21,240.99,0.28,7.04,0.00,0.02,0.41,0.45,0.00,99.14,6.82,0.00,93.18,0.00,
2023-05-04,11:55:06.069,0.00,0.14,0.00,0.81,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.76,5.33,238.71,0.28,7.10,0.00,0.02,0.34,0.30,0.00,99.35,5.47,0.00,94.53,0.00,0.00,0.14,0.00,0.81,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.76,5.33,238.71,0.28,7.10,0.00,0.02,0.34,0.30,0.00,99.35,5.47,0.00,94.53,0.00,
