System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:50:14.204,0.00,0.17,0.00,0.67,0.01,0.02,0.60,0.06,0.01,0.02,0.00,0.00,1.23,7.36,241.07,0.33,8.32,0.00,0.03,0.57,0.63,0.00,98.80,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.01,0.02,0.60,0.06,0.01,0.02,0.00,0.00,N/A,1.23,7.36,241.07,0.33,8.32,0.00,0.03,0.57,0.63,0.00,98.80,100.00,0.00,0.00,0.00,
2023-05-04,11:50:14.304,0.00,0.17,0.00,0.67,0.00,0.01,0.94,0.09,0.00,0.01,0.00,0.00,1.01,6.01,241.09,0.33,8.37,0.00,0.03,0.47,0.47,0.00,99.06,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.94,0.09,0.00,0.01,0.00,0.00,N/A,1.01,6.01,241.09,0.33,8.37,0.00,0.03,0.47,0.47,0.00,99.06,100.00,0.00,0.00,0.00,
2023-05-04,11:50:14.404,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.77,4.36,238.54,0.35,8.80,0.00,0.02,0.34,0.28,0.00,99.38,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.77,4.36,238.54,0.35,8.80,0.00,0.02,0.34,0.28,0.00,99.38,100.00,0.00,0.00,0.00,
2023-05-04,11:50:14.505,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.71,3.98,240.97,0.36,8.88,0.00,0.02,0.31,0.24,0.00,99.45,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.71,3.98,240.97,0.36,8.88,0.00,0.02,0.31,0.24,0.00,99.45,100.00,0.00,0.00,0.00,
2023-05-04,11:50:14.604,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,0.88,5.10,238.53,0.34,8.60,0.00,0.02,0.40,0.35,0.00,99.25,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,N/A,0.88,5.10,238.53,0.34,8.60,0.00,0.02,0.40,0.35,0.00,99.25,100.00,0.00,0.00,0.00,
2023-05-04,11:50:14.705,0.00,0.20,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.73,3.64,240.94,0.40,10.01,0.00,0.02,0.28,0.22,0.00,99.49,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.73,3.64,240.94,0.40,10.01,0.00,0.02,0.28,0.22,0.00,99.49,100.00,0.00,0.00,0.00,
2023-05-04,11:50:14.806,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,0.84,4.59,240.93,0.37,9.14,0.00,0.02,0.36,0.29,0.00,99.35,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,N/A,0.84,4.59,240.93,0.37,9.14,0.00,0.02,0.36,0.29,0.00,99.35,100.00,0.00,0.00,0.00,
2023-05-04,11:50:14.905,0.00,0.19,0.00,0.67,0.00,0.01,0.76,0.09,0.00,0.01,0.00,0.00,0.88,4.64,238.56,0.38,9.45,0.00,0.02,0.36,0.34,0.00,99.30,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.76,0.09,0.00,0.01,0.00,0.00,N/A,0.88,4.64,238.56,0.38,9.45,0.00,0.02,0.36,0.34,0.00,99.30,100.00,0.00,0.00,0.00,
2023-05-04,11:50:15.006,0.00,0.22,0.00,0.67,0.00,0.01,0.92,0.18,0.00,0.01,0.00,0.00,1.45,6.57,241.03,0.44,11.06,0.00,0.04,0.51,0.46,0.00,99.02,100.00,0.00,0.00,0.00,0.00,0.22,0.00,0.67,0.00,0.01,0.92,0.18,0.00,0.01,0.00,0.00,N/A,1.45,6.57,241.03,0.44,11.06,0.00,0.04,0.51,0.46,0.00,99.02,100.00,0.00,0.00,0.00,
2023-05-04,11:50:15.106,0.00,0.17,0.00,0.67,0.00,0.01,0.93,0.09,0.00,0.01,0.00,0.00,0.99,5.71,238.56,0.35,8.71,0.00,0.03,0.45,0.44,0.00,99.11,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.93,0.09,0.00,0.01,0.00,0.00,N/A,0.99,5.71,238.56,0.35,8.71,0.00,0.03,0.45,0.44,0.00,99.11,100.00,0.00,0.00,0.00,
2023-05-04,11:50:15.206,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,0.80,4.19,240.96,0.38,9.50,0.00,0.02,0.33,0.26,0.00,99.41,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,N/A,0.80,4.19,240.96,0.38,9.50,0.00,0.02,0.33,0.26,0.00,99.41,100.00,0.00,0.00,0.00,
2023-05-04,11:50:15.307,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.82,4.60,240.86,0.36,8.89,0.00,0.02,0.36,0.30,0.23,99.12,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.82,4.60,240.86,0.36,8.89,0.00,0.02,0.36,0.30,0.23,99.12,100.00,0.00,0.00,0.00,
2023-05-04,11:50:15.407,0.00,0.19,0.00,0.67,0.01,0.01,0.64,0.06,0.00,0.01,0.00,0.00,1.15,6.18,238.54,0.37,9.31,0.00,0.03,0.49,0.43,0.00,99.08,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.01,0.01,0.64,0.06,0.00,0.01,0.00,0.00,N/A,1.15,6.18,238.54,0.37,9.31,0.00,0.03,0.49,0.43,0.00,99.08,100.00,0.00,0.00,0.00,
2023-05-04,11:50:15.507,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.75,4.11,240.93,0.37,9.13,0.00,0.02,0.32,0.27,0.00,99.41,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.75,4.11,240.93,0.37,9.13,0.00,0.02,0.32,0.27,0.00,99.41,100.00,0.00,0.00,0.00,
2023-05-04,11:50:15.607,0.00,0.21,0.00,0.67,0.00,0.01,0.93,0.08,0.00,0.01,0.00,0.00,1.20,5.78,238.54,0.42,10.39,0.00,0.03,0.45,0.43,0.00,99.12,100.00,0.00,0.00,0.00,0.00,0.21,0.00,0.67,0.00,0.01,0.93,0.08,0.00,0.01,0.00,0.00,N/A,1.20,5.78,238.54,0.42,10.39,0.00,0.03,0.45,0.43,0.00,99.12,100.00,0.00,0.00,0.00,
2023-05-04,11:50:15.707,0.00,0.20,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,0.76,3.87,240.96,0.39,9.84,0.00,0.02,0.30,0.25,0.00,99.45,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,N/A,0.76,3.87,240.96,0.39,9.84,0.00,0.02,0.30,0.25,0.00,99.45,100.00,0.00,0.00,0.00,
2023-05-04,11:50:15.808,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.79,4.16,240.94,0.38,9.50,0.00,0.02,0.32,0.25,0.00,99.42,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.79,4.16,240.94,0.38,9.50,0.00,0.02,0.32,0.25,0.00,99.42,100.00,0.00,0.00,0.00,
