
# OSU MPI Allreduce Latency Test v7.1
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations        Validation
4                     500.09             78.70           1312.90        1000              Pass
8                     141.36             78.24            268.55        1000              Pass
16                    203.01             75.93            648.20        1000              Pass
32                    197.32             74.56            451.19        1000              Pass
64                    115.02             73.05            174.21        1000              Pass
128                   225.92             66.83            665.88        1000              Pass
256                   107.57             65.59            169.78        1000              Pass
512                   106.22             67.13            171.74        1000              Pass
1024                  104.36             64.44            167.32        1000              Pass
2048                  102.74             65.05            167.35        1000              Pass
4096                  103.03             65.54            169.44        1000              Pass
8192                  104.41             66.04            171.25        1000              Pass
16384                 106.33             67.98            173.87         100              Pass
32768                 112.06             72.55            190.56         100              Pass
65536                 121.92             81.69            192.66         100              Pass
131072                144.48             93.31            221.24         100              Pass
262144                194.04            137.06            291.92         100              Pass
524288                343.84            275.49            486.15         100              Pass
1048576               797.66            709.55           1064.31         100              Pass
