
# OSU MPI Allreduce Latency Test v7.1
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations        Validation
4                     318.67            220.26            502.04        1000              Pass
8                     201.48            161.69            240.55        1000              Pass
16                    245.84            174.90            317.43        1000              Pass
32                    224.95            178.13            278.45        1000              Pass
64                    231.35            186.95            282.65        1000              Pass
128                   228.69            183.52            280.44        1000              Pass
256                   229.00            182.83            281.15        1000              Pass
512                   229.02            183.90            281.22        1000              Pass
1024                  220.05            173.65            267.20        1000              Pass
2048                  219.25            175.07            266.44        1000              Pass
4096                  249.83            184.48            306.11        1000              Pass
8192                  821.85            238.95           2558.88        1000              Pass
16384                 198.24            159.70            225.80         100              Pass
32768                 210.66            172.61            258.70         100              Pass
65536                 225.90            169.67            269.74         100              Pass
131072                256.06            187.94            314.25         100              Pass
262144                298.82            247.64            341.85         100              Pass
524288                437.22            390.19            522.43         100              Pass
1048576               796.73            702.66            964.28         100              Pass
