
# OSU MPI Allreduce Latency Test v7.1
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations        Validation
4                   12653.59          12452.52          12705.91        1000              Pass
8                      67.08             14.90            110.42        1000              Pass
16                     68.23             13.78            112.35        1000              Pass
32                     66.76             13.67            111.09        1000              Pass
64                     66.72             13.26            110.51        1000              Pass
128                 20844.40          20476.13          21244.56        1000              Pass
256                    63.31             19.29            111.87        1000              Pass
512                    90.46             57.98            134.06        1000              Pass
1024                  123.45             56.98            160.26        1000              Pass
2048                  118.42             57.91            155.10        1000              Pass
4096                   82.47             42.65            117.24        1000              Pass
8192                   81.09             36.62            115.00        1000              Pass
16384                  77.06             18.70            117.06         100              Pass
32768                  82.50             27.54            130.31         100              Pass
65536                  90.64             35.32            138.96         100              Pass
131072                128.21             62.99            191.58         100              Pass
262144                200.85            117.75            267.24         100              Pass
524288                427.86            327.52            543.20         100              Pass
1048576              1138.82            982.23           1272.55         100              Pass
