
# OSU MPI Allreduce Latency Test v7.1
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                   22133.49          21507.13          22292.83        1000
8                      67.95             25.64            116.34        1000
16                     74.29             34.65            124.16        1000
32                     78.97             38.29            128.02        1000
64                     77.56             35.85            118.70        1000
128                    67.38             21.34            108.59        1000
256                    67.58             21.44            108.32        1000
512                    72.58             27.15            114.58        1000
1024                   68.50             24.90            109.47        1000
2048                   71.75             26.44            114.47        1000
4096                   76.44             26.49            121.28        1000
8192                   81.00             29.11            123.12        1000
16384                  95.81             42.74            139.29         100
32768                 116.49             64.96            157.90         100
65536                 146.86             92.65            193.99         100
131072                134.53             74.99            180.23         100
262144                171.55            100.46            233.59         100
524288                289.50            222.13            428.25         100
1048576               657.88            572.78            903.25         100
