
# OSU MPI Allreduce Latency Test v7.1
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      59.30             15.02             99.67        1000
8                      60.91             18.80            102.27        1000
16                     62.52             17.21             99.39        1000
32                     58.37             14.43             99.60        1000
64                     63.01             17.97            106.94        1000
128                    64.12             21.96            105.23        1000
256                    64.33             19.57            106.32        1000
512                    59.81             14.73             98.90        1000
1024                   61.94             18.06             98.61        1000
2048                   66.90             25.63            107.73        1000
4096                   67.27             24.78            108.13        1000
8192                   73.64             30.10            114.08        1000
16384                 123.62             75.68            164.93         100
32768                 146.44            116.08            178.43         100
65536                 163.02            125.11            204.47         100
131072                122.37             82.22            157.30         100
262144                154.00            105.74            193.45         100
524288                241.46            189.89            286.46         100
1048576               549.70            524.66            575.53         100
