
# OSU MPI Allreduce Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     136.08             99.29            164.85        1000
8                      93.75             55.85            123.46        1000
16                     91.33             55.75            118.85        1000
32                     90.80             54.52            118.72        1000
64                     90.64             70.26            112.27        1000
128                    94.47             68.66            121.28        1000
256                   101.53             77.71            124.69        1000
512                   109.09             85.27            137.37        1000
1024                  136.63            113.90            152.21        1000
2048                  187.44            133.96            238.94        1000
4096                  232.63            131.53            322.82        1000
8192                  248.73            128.77            332.61        1000
16384                 330.17            153.39            472.00        1000
32768                 468.11            297.93            586.74        1000
65536                1189.67            993.93           1330.71         100
131072               1710.12           1321.97           1962.45         100
262144               2847.56           2065.80           3314.41         100
524288               5068.18           3176.15           5838.77         100
1048576              9326.89           6162.03          10709.94         100
