
# OSU MPI Allreduce Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      85.16             78.46             95.03        1000
8                      64.56             62.52             67.30        1000
16                     57.90             56.71             59.24        1000
32                    360.04            352.86            368.56        1000
64                    359.63            353.06            367.31        1000
128                   360.54            353.68            369.84        1000
256                   363.08            356.18            371.29        1000
512                   365.47            361.21            372.68        1000
1024                  383.79            379.13            388.29        1000
2048                  484.92            470.80            492.17        1000
4096                  632.12            604.69            659.69        1000
8192                  677.01            673.12            680.66        1000
16384                 817.98            810.13            825.47        1000
32768                 934.04            928.48            938.49        1000
65536                1042.40           1032.84           1050.28         100
131072               1286.52           1273.06           1298.79         100
262144               1680.60           1657.69           1702.48         100
524288               4494.74           4475.02           4524.85         100
1048576              5700.06           5668.16           5732.10         100
