
# OSU MPI Allreduce Latency Test v7.1
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                     137.69             88.45            186.27        1000
2                     135.22             86.63            184.41        1000
4                     135.12             86.68            184.53        1000
8                     135.07             86.16            184.63        1000
16                    135.60             86.97            186.11        1000
32                    132.04             79.29            181.49        1000
64                    137.76             82.71            189.89        1000
128                   138.89             85.23            195.97        1000
256                   136.27             82.71            185.38        1000
512                   129.83             88.67            171.50        1000
1024                  144.28             92.82            199.12        1000
2048                  196.01            111.41            255.77        1000
4096                  221.59            121.35            290.33        1000
8192                  273.34            164.01            342.23        1000
16384                 391.10            234.32            472.02         100
32768                 633.75            361.35            767.91         100
65536                1925.62           1805.44           2077.71         100
131072               2685.41           2516.46           2901.71         100
262144               4254.88           3955.75           4614.39         100
524288               7297.68           6669.17           7823.87         100
1048576             13454.99          12223.58          14446.52         100
