
# OSU MPI Allreduce Latency Test v7.1
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                     134.04            130.85            137.14        1000
2                     132.62            123.74            144.32        1000
4                     129.43            117.19            144.82        1000
8                     128.81            123.60            134.06        1000
16                    132.16            128.43            135.13        1000
32                    129.52            127.04            132.67        1000
64                    129.51            110.57            144.86        1000
128                   134.95            126.10            142.53        1000
256                   134.64            120.23            146.77        1000
512                   140.33            125.98            154.52        1000
1024                  140.87            138.61            143.17        1000
2048                  173.87            128.58            216.35        1000
4096                  192.61            163.15            226.22        1000
8192                  341.87            336.71            348.83        1000
16384                 393.24            386.33            407.82         100
32768                 480.02            467.60            501.52         100
65536                 541.63            527.00            565.66         100
131072                968.52            950.42            991.96         100
262144               1571.63           1477.46           1661.83         100
524288               2690.81           2614.10           2805.46         100
1048576              4345.71           4264.18           4482.22         100
