
# OSU MPI Allreduce Latency Test v7.1
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                     132.47            129.07            136.14        1000
2                     131.93            128.46            135.40        1000
4                     129.87            125.10            135.89        1000
8                     129.93            125.39            135.37        1000
16                    127.79            122.14            133.52        1000
32                    130.40            128.31            132.57        1000
64                    127.75            119.05            135.60        1000
128                   129.54            119.95            137.92        1000
256                   130.55            128.36            131.97        1000
512                   129.18            126.95            131.68        1000
1024                  135.14            131.97            138.99        1000
2048                  163.13            141.13            184.18        1000
4096                  184.36            165.84            200.72        1000
8192                  226.94            201.91            258.63        1000
16384                 277.15            241.25            320.90         100
32768                 415.36            379.22            454.31         100
65536                 926.54            849.84           1010.50         100
131072               1341.24           1280.12           1440.65         100
262144               2185.12           2055.60           2384.14         100
524288               3796.70           3630.00           3951.16         100
1048576              7376.45           7162.26           7652.67         100
