
# OSU MPI Allreduce Latency Test v7.1
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                     139.02            128.14            148.70        1000
2                     129.54            125.67            132.17        1000
4                     133.11            129.39            137.40        1000
8                     615.48            598.92            634.10        1000
16                    612.56            601.48            624.89        1000
32                    628.42            616.75            639.34        1000
64                    612.24            596.47            629.11        1000
128                   606.50            596.51            621.20        1000
256                   612.96            602.88            627.18        1000
512                   597.17            585.72            612.61        1000
1024                  602.72            587.68            620.52        1000
2048                  609.15            595.01            626.19        1000
4096                  606.51            590.90            621.49        1000
8192                  642.58            614.82            669.99        1000
16384                 801.95            783.40            813.81         100
32768                 896.44            878.15            908.80         100
65536                 956.51            944.64            973.40         100
131072               1170.59           1150.68           1191.49         100
262144               1689.03           1673.96           1714.04         100
524288               3687.42           3662.56           3710.85         100
1048576              5934.80           5856.24           6000.11         100
