
# OSU MPI Broadcast Latency Test v7.1
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations        Validation
1                       0.67              0.35              1.30        1000              Pass
2                       0.63              0.35              1.65        1000              Pass
4                       0.69              0.34              1.99        1000              Pass
8                       0.69              0.35              2.10        1000              Pass
16                      0.65              0.34              1.68        1000              Pass
32                      0.59              0.34              1.18        1000              Pass
64                      0.58              0.35              1.08        1000              Pass
128                     0.55              0.35              0.89        1000              Pass
256                     0.58              0.35              0.95        1000              Pass
512                     0.59              0.36              0.96        1000              Pass
1024                    0.66              0.41              1.15        1000              Pass
2048                    0.75              0.45              1.33        1000              Pass
4096                    0.89              0.56              1.39        1000              Pass
8192                    1.16              0.77              1.93        1000              Pass
16384                   1.99              1.11              4.37         100              Pass
32768                   3.06              1.93              5.49         100              Pass
65536                   5.80              3.52             11.68         100              Pass
131072                 11.61              6.74             21.58         100              Pass
262144                 24.12             17.22             40.45         100              Pass
524288                 54.35             40.46             82.36         100              Pass
1048576               154.62            107.41            240.80         100              Pass
