
# OSU MPI Broadcast Latency Test v7.1
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations        Validation
1                       0.69              0.41              1.01        1000              Pass
2                       0.73              0.36              1.47        1000              Pass
4                       0.83              0.37              1.35        1000              Pass
8                       0.79              0.41              1.14        1000              Pass
16                      0.73              0.36              1.70        1000              Pass
32                      0.80              0.36              2.31        1000              Pass
64                      0.72              0.36              1.76        1000              Pass
128                     0.72              0.36              1.59        1000              Pass
256                     0.86              0.37              2.19        1000              Pass
512                     0.82              0.39              2.15        1000              Pass
1024                    0.85              0.43              1.54        1000              Pass
2048                    0.88              0.52              1.12        1000              Pass
4096                    0.98              0.61              1.27        1000              Pass
8192                    1.50              0.78              2.90        1000              Pass
16384                   2.81              1.12              5.89         100              Pass
32768                   4.55              1.93             10.61         100              Pass
65536                   8.10              3.65             17.59         100              Pass
131072                 16.15              7.17             31.02         100              Pass
262144                 33.48             19.39             58.81         100              Pass
524288                 68.62             45.86            127.09         100              Pass
1048576               167.77            114.06            253.20         100              Pass
