
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      75.83             52.25            114.07        1000
2                      50.03             27.70             75.24        1000
4                      43.78             29.02             59.22        1000
8                      43.93             28.69             60.79        1000
16                     44.00             29.06             59.88        1000
32                     44.33             29.46             59.68        1000
64                     44.20             28.28             60.60        1000
128                    41.68             25.86             58.09        1000
256                    44.93             30.47             64.63        1000
512                    46.36             28.49             68.33        1000
1024                   47.98             28.46             73.09        1000
2048                   66.70             36.05            108.46        1000
4096                   61.17             37.96             92.25        1000
8192                  101.52             41.37            154.86        1000
16384                 144.01             48.65            241.27         100
32768                 189.89             67.28            326.10         100
65536                 522.92            262.71            665.80         100
131072                810.25            349.93           1072.59         100
262144               1381.34            502.36           1810.52         100
524288               2673.10            875.83           3394.92         100
1048576              5255.36           1775.43           6509.31         100
