
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      78.00             37.15             96.10        1000
2                      42.05             17.07             64.03        1000
4                      34.05             17.16             55.66        1000
8                      34.02             17.14             55.92        1000
16                     33.74             17.15             55.50        1000
32                     32.06             16.42             56.37        1000
64                     32.00             15.87             56.80        1000
128                    32.20             15.83             56.67        1000
256                    35.29             17.41             56.56        1000
512                    36.68             18.09             60.63        1000
1024                   39.64             17.81             66.83        1000
2048                   61.35             18.21            112.59        1000
4096                   55.44             16.09            114.06        1000
8192                   71.00             22.66            136.58        1000
16384                 122.96             26.85            211.10         100
32768                 169.20             36.27            281.93         100
65536                 428.19            183.40            579.82         100
131072                640.73            244.80            866.06         100
262144               1012.62            322.95           1405.37         100
524288               1854.43            530.70           2501.73         100
1048576              3572.81           1032.08           4579.92         100
