
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      82.14             17.03            116.84        1000
2                      43.27             17.05             65.55        1000
4                      37.91             17.05             56.78        1000
8                      38.45             17.08             57.33        1000
16                     38.12             17.05             56.97        1000
32                     37.79             17.03             56.67        1000
64                     38.44             17.07             58.05        1000
128                    38.95             17.17             58.42        1000
256                    45.28             17.19             73.60        1000
512                    40.88             17.36             64.41        1000
1024                   43.66             17.57             72.31        1000
2048                   70.49             18.45            124.54        1000
4096                   67.59             20.13            113.34        1000
8192                   85.43             22.57            152.72        1000
16384                 155.51             27.93            275.78         100
32768                 214.64             37.27            353.58         100
65536                 460.91            187.21            627.40         100
131072                728.48            234.10           1086.69         100
262144               1167.58            322.85           1766.83         100
524288               2187.47            514.79           3449.62         100
1048576              4250.15           1009.10           6548.07         100
