
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                     133.05              4.83            219.12        1000
2                      86.07              4.81            163.52        1000
4                      82.77              4.79            159.24        1000
8                      82.50              4.76            159.01        1000
16                     83.24              4.85            160.64        1000
32                     84.88              4.82            165.17        1000
64                     87.06              4.82            169.39        1000
128                    87.39              4.79            168.73        1000
256                    91.07              4.83            179.29        1000
512                    98.06              4.84            192.29        1000
1024                  106.63              4.83            210.64        1000
2048                  167.68              5.03            320.38        1000
4096                  172.38              5.48            359.40        1000
8192                  196.14              5.68            381.85        1000
16384                 275.70              8.41            516.41         100
32768                 395.15              9.12            734.33         100
65536                 698.16             76.34           1271.89         100
131072               1001.71             96.12           1827.81         100
262144               1514.30            128.88           2753.87         100
524288               2372.70            213.14           4313.30         100
1048576              4065.88            338.47           7438.75         100
