
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      88.32             16.92            138.70        1000
2                      55.03             12.83             92.32        1000
4                      46.94             12.87             81.90        1000
8                      46.76             12.81             81.61        1000
16                     46.93             12.80             81.74        1000
32                     50.63             12.92             88.23        1000
64                     51.13             12.90             89.39        1000
128                    50.76             12.94             87.95        1000
256                    49.46             13.02             86.20        1000
512                    54.78             12.99             95.04        1000
1024                   60.63             13.05            104.46        1000
2048                   99.26             13.52            212.95        1000
4096                   93.54             14.34            185.75        1000
8192                  142.47             27.97            244.40        1000
16384                 150.75             21.21            270.06         100
32768                 188.42             29.26            340.19         100
65536                 603.55            233.16            939.00         100
131072                659.64            190.44           1062.52         100
262144               1188.65            272.08           1956.86         100
524288               1921.58            424.22           3057.13         100
1048576              3535.65            877.49           5511.61         100
