
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      71.89             25.25            108.43        1000
2                      50.23             21.36             69.63        1000
4                      38.24             17.26             57.39        1000
8                      48.05              9.09             79.88        1000
16                     48.45              9.11             80.45        1000
32                     51.77              9.12             85.48        1000
64                     37.88             17.32             56.29        1000
128                    39.07             17.36             59.27        1000
256                    43.85             17.45             71.90        1000
512                    40.97             17.69             65.21        1000
1024                   43.57             17.71             73.15        1000
2048                   72.96             18.49            132.09        1000
4096                   95.73             10.12            174.83        1000
8192                  112.19             10.81            195.61        1000
16384                 149.79             19.91            265.37         100
32768                 186.05             69.65            325.19         100
65536                 499.44            270.09            612.65         100
131072                813.53            353.71           1074.75         100
262144               1363.59            508.04           1806.05         100
524288               2655.05            852.56           3373.72         100
1048576              5253.39           1775.63           6513.41         100
