
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                     103.22             29.24            183.59        1000
2                     109.84             28.67            194.72        1000
4                     109.82             28.81            196.66        1000
8                     109.44             28.85            196.54        1000
16                    109.30             28.81            195.88        1000
32                    110.05             29.14            197.72        1000
64                    109.33             29.59            196.63        1000
128                   107.98             29.23            185.89        1000
256                   100.68             29.05            177.18        1000
512                    96.94             28.92            165.23        1000
1024                   95.52             30.63            163.79        1000
2048                  122.75             30.94            217.73        1000
4096                  134.91             22.98            250.50        1000
8192                  147.83             24.34            276.91        1000
16384                 169.67             28.24            310.44         100
32768                 213.44             34.06            372.87         100
65536                 413.28            141.15            626.65         100
131072                522.02            171.67            789.59         100
262144                768.12            242.69           1134.48         100
524288               1214.87            409.02           1819.59         100
1048576              2045.75            738.29           2933.81         100
