
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      95.12             42.33            142.47        1000
2                      95.84             41.88            142.95        1000
4                      95.19             41.88            141.80        1000
8                     104.90             21.13            164.88        1000
16                    104.89             21.09            163.83        1000
32                     99.63             21.25            153.21        1000
64                     93.38             42.29            140.96        1000
128                    92.41             42.07            137.42        1000
256                    83.86             41.54            124.65        1000
512                    78.60             46.18            116.79        1000
1024                   82.58             45.66            123.48        1000
2048                   93.09             46.67            140.56        1000
4096                  126.49             16.24            216.99        1000
8192                  138.71             18.21            239.47        1000
16384                 153.03             31.79            281.97         100
32768                 172.59             82.99            270.48         100
65536                 392.50            288.58            555.20         100
131072                538.06            340.67            759.14         100
262144                853.16            484.78           1185.86         100
524288               1457.94            743.49           2065.96         100
1048576              2722.72           1071.86           3902.70         100
