
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      81.38             49.28            108.01        1000
2                      86.91             50.55            121.09        1000
4                      92.28             50.44            134.13        1000
8                     379.75            347.52            405.74        1000
16                    370.20            342.01            393.82        1000
32                    370.07            341.72            393.53        1000
64                    374.33            343.62            396.84        1000
128                   372.70            340.34            396.55        1000
256                   385.79            352.18            414.74        1000
512                   384.38            344.58            417.31        1000
1024                  393.59            356.05            424.54        1000
2048                  389.04            353.03            421.26        1000
4096                  386.62            356.42            412.11        1000
8192                  402.25            369.36            432.07        1000
16384                 494.38            465.84            521.88         100
32768                 559.25            511.43            592.80         100
65536                 667.92            598.74            716.06         100
131072                882.65            802.21            928.40         100
262144               1300.66           1182.45           1385.91         100
524288               2362.43           2269.20           2417.43         100
1048576              3353.99           3228.97           3473.21         100
