
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                     175.57              9.40            337.30        1000
2                      97.37             24.15            136.08        1000
4                      96.87             24.13            136.89        1000
8                      98.65             24.14            141.64        1000
16                    104.25             24.00            134.63        1000
32                    100.47             24.33            132.64        1000
64                     96.97             24.12            132.60        1000
128                    94.84             24.18            128.58        1000
256                    95.45             24.25            129.57        1000
512                    94.68             24.36            129.67        1000
1024                   97.17             24.53            133.00        1000
2048                   98.80             24.45            135.20        1000
4096                  124.35             24.92            152.65        1000
8192                  138.53             20.36            179.96        1000
16384                 150.84             22.03            211.33         100
32768                 181.23             25.04            252.22         100
65536                 252.70             32.88            327.63         100
131072                740.58            580.72            911.16         100
262144                936.00            716.00           1143.84         100
524288               1309.95            942.80           1571.23         100
1048576              1949.74           1441.85           2306.54         100
