
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      88.56             63.39            119.35        1000
2                      88.51             63.40            119.72        1000
4                      86.00             56.63            121.71        1000
8                      89.70             57.26            129.19        1000
16                     90.11             57.08            131.33        1000
32                     89.26             57.10            130.60        1000
64                     89.57             57.34            131.02        1000
128                    85.89             55.99            122.28        1000
256                    86.17             56.33            117.99        1000
512                    97.86             53.51            143.29        1000
1024                   86.82             53.30            122.96        1000
2048                   92.11             61.28            134.36        1000
4096                   94.33             41.63            143.28        1000
8192                  104.82             45.53            160.89        1000
16384                 123.94             52.17            195.32         100
32768                 167.46             62.98            268.74         100
65536                 392.08            249.33            488.00         100
131072                553.57            319.68            714.79         100
262144                857.49            463.60           1132.52         100
524288               1463.02            797.70           1976.16         100
1048576              2684.56           1283.09           3737.28         100
