
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                     198.26              9.87            389.73        1000
2                     184.67             11.01            356.33        1000
4                     183.53             10.21            350.03        1000
8                     185.70              9.48            356.15        1000
16                    186.63              9.83            356.87        1000
32                    193.14             10.04            367.59        1000
64                    187.76              9.32            362.90        1000
128                   188.02              9.24            360.88        1000
256                   185.84              9.32            357.86        1000
512                   189.68              9.40            363.58        1000
1024                  195.78              9.46            376.20        1000
2048                  220.46              9.69            427.31        1000
4096                  243.57             10.16            472.72        1000
8192                  264.49             10.57            500.86        1000
16384                 300.24             11.39            570.41         100
32768                 391.62             14.33            740.37         100
65536                 830.53             93.97           1466.89         100
131072                995.40            104.10           1755.19         100
262144               1342.07            124.85           2365.53         100
524288               1845.81            176.39           3267.93         100
1048576              2779.78            293.39           4937.87         100
