
# OSU MPI Allreduce Latency Test v7.1
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                     174.36            135.35            221.55        1000
2                     171.71            130.58            219.23        1000
4                     173.35            129.88            221.56        1000
8                     181.75             94.17            248.70        1000
16                    178.72             88.40            247.30        1000
32                    178.75             89.27            246.55        1000
64                    172.15            131.91            218.41        1000
128                   174.25            132.78            220.34        1000
256                   177.13            136.36            226.72        1000
512                   175.15            134.49            218.49        1000
1024                  179.75            133.02            221.58        1000
2048                  199.44            146.01            248.10        1000
4096                  240.77            121.98            355.52        1000
8192                  257.89            114.17            371.64        1000
16384                 322.66            184.81            451.54         100
32768                 468.99            344.81            570.47         100
65536                1116.84            972.33           1278.47         100
131072               1614.66           1408.05           1836.30         100
262144               2693.41           2268.15           3041.12         100
524288               4742.83           3884.74           5383.83         100
1048576              8480.46           6766.92           9673.70         100
