
# OSU MPI Allreduce Latency Test v7.1
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                     139.40            130.34            148.28        1000
2                     130.62            129.11            132.48        1000
4                     135.18            123.88            146.34        1000
8                     590.80            582.69            601.10        1000
16                    575.07            562.49            589.56        1000
32                    573.24            563.67            581.15        1000
64                    574.00            562.90            587.08        1000
128                   588.00            574.91            604.06        1000
256                   600.51            582.56            620.49        1000
512                   580.75            568.15            594.14        1000
1024                  603.01            587.78            618.69        1000
2048                  616.90            598.25            631.52        1000
4096                  575.81            563.10            589.60        1000
8192                  593.64            572.05            616.15        1000
16384                 746.23            726.55            765.72         100
32768                 817.36            801.40            834.42         100
65536                 901.41            886.07            919.54         100
131072               1106.34           1082.29           1130.82         100
262144               1654.94           1635.18           1678.20         100
524288               3624.24           3569.12           3676.93         100
1048576              5693.29           5609.05           5804.51         100
