
# OSU MPI Allreduce Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     113.45             46.27            144.89        1000
8                      81.96             45.58            106.38        1000
16                     76.63             45.42             98.66        1000
32                     76.55             46.17             96.45        1000
64                     77.16             47.16             97.63        1000
128                    81.25             56.28            100.74        1000
256                    87.39             66.54            107.28        1000
512                    95.88             72.64            118.63        1000
1024                  115.89             86.74            141.01        1000
2048                  151.46             93.78            202.88        1000
4096                  161.46            108.47            208.20        1000
8192                  222.92            115.76            281.11        1000
16384                 295.28            132.30            380.79        1000
32768                 473.17            174.68            607.68        1000
65536                2222.46           1990.69           2413.69         100
131072               2516.82           2110.23           2789.32         100
262144               3797.17           3034.49           4269.27         100
524288               6908.38           5253.01           7691.88         100
1048576             13120.04           9976.47          14529.60         100
