
# OSU MPI Allreduce Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      82.68             76.78             87.82        1000
8                      66.17             63.13             70.02        1000
16                     57.97             57.07             58.83        1000
32                     59.81             58.99             60.62        1000
64                     58.47             57.32             59.58        1000
128                    72.20             69.88             73.98        1000
256                    85.52             82.11             87.74        1000
512                    93.76             91.50             96.44        1000
1024                  115.72            112.42            120.63        1000
2048                  153.26            151.10            155.79        1000
4096                  174.61            173.08            176.26        1000
8192                  337.91            334.65            341.37        1000
16384                 392.08            388.97            395.21        1000
32768                 448.46            445.58            451.79        1000
65536                 657.62            632.99            678.77         100
131072               1242.31           1226.70           1263.92         100
262144               1873.63           1847.30           1900.93         100
524288               2988.52           2919.87           3046.40         100
1048576              4225.22           4128.43           4358.31         100
