
# OSU MPI Allreduce Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      82.69             78.98             85.16        1000
8                      61.67             57.72             67.40        1000
16                     58.44             56.71             59.98        1000
32                     61.17             60.45             62.05        1000
64                     58.85             58.07             59.81        1000
128                    73.16             72.09             74.40        1000
256                    85.22             84.29             86.55        1000
512                    92.78             90.03             95.97        1000
1024                  116.48            112.75            119.91        1000
2048                  153.81            151.78            156.02        1000
4096                  172.69            168.84            176.21        1000
8192                  197.04            191.59            204.80        1000
16384                 253.57            243.86            263.45        1000
32768                 393.78            375.65            411.76        1000
65536                 967.88            939.83            998.55         100
131072               1286.59           1251.25           1312.21         100
262144               1996.44           1929.41           2090.96         100
524288               3052.30           2918.76           3259.65         100
1048576              5481.56           4802.10           6425.13         100
