
# OSU MPI Allreduce Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      80.48             72.32             88.53        1000
8                      65.35             59.04             71.34        1000
16                     58.43             58.13             58.86        1000
32                    357.66            350.77            365.52        1000
64                    375.35            367.83            384.48        1000
128                   357.51            351.99            366.48        1000
256                   362.27            357.07            369.96        1000
512                   364.99            359.50            373.90        1000
1024                  384.99            380.32            391.48        1000
2048                  452.60            446.71            460.16        1000
4096                  576.84            562.78            593.20        1000
8192                  661.50            648.02            674.09        1000
16384                 804.00            798.84            807.82        1000
32768                 944.88            932.26            953.32        1000
65536                1040.77           1031.30           1053.08         100
131072               1355.55           1323.98           1388.07         100
262144               1668.03           1655.18           1677.50         100
524288               4527.06           4511.46           4563.44         100
1048576              5518.01           5466.35           5577.28         100
