
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      86.56             21.32            126.27        1000
2                      87.98             21.39            128.87        1000
4                      86.72             20.87            126.44        1000
8                      90.01             23.15            132.69        1000
16                     98.46             23.59            149.60        1000
32                    101.57             24.54            163.41        1000
64                    101.15             24.73            162.16        1000
128                   101.39             24.73            162.51        1000
256                   101.80             24.77            165.36        1000
512                   103.70             23.75            167.34        1000
1024                   98.60             21.93            156.22        1000
2048                  120.55             21.67            202.81        1000
4096                  138.75             16.76            255.05        1000
8192                  150.94             18.08            273.34        1000
16384                 170.11             20.64            302.42         100
32768                 213.48             25.07            359.13         100
65536                 435.72            116.59            642.43         100
131072                528.97            141.29            747.50         100
262144                732.85            209.22           1001.59         100
524288               1105.30            343.27           1434.35         100
1048576              1901.06            545.74           2389.62         100
