
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      67.05             40.26            103.87        1000
2                      61.95             29.64            107.32        1000
4                      56.93             24.62            100.88        1000
8                      57.31             25.35            101.10        1000
16                     58.55             28.23            101.12        1000
32                     63.55             35.71            104.56        1000
64                     66.99             32.84            112.01        1000
128                    58.38             23.76            105.81        1000
256                    62.03             31.01            106.28        1000
512                    68.01             39.81            106.32        1000
1024                   67.52             39.48            106.11        1000
2048                   71.42             35.29            119.48        1000
4096                   85.44             27.12            143.60        1000
8192                   93.55             30.73            162.03        1000
16384                 112.14             31.54            189.10         100
32768                 156.81             37.59            252.84         100
65536                 383.36            175.82            508.71         100
131072                510.43            208.67            664.70         100
262144                746.09            286.63           1017.25         100
524288               1171.13            483.15           1619.57         100
1048576              1841.12            910.92           2646.36         100
