
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      89.99             47.20            134.61        1000
2                      88.28             46.35            131.74        1000
4                      87.67             47.56            129.37        1000
8                      87.98             47.50            130.31        1000
16                     88.90             45.22            132.40        1000
32                     74.96             37.56            109.55        1000
64                     74.72             37.82            108.65        1000
128                    75.10             40.05            109.48        1000
256                    76.76             42.44            108.66        1000
512                    79.00             46.04            111.20        1000
1024                   77.56             41.15            114.08        1000
2048                   83.86             43.39            125.78        1000
4096                   92.00             28.01            147.31        1000
8192                  103.79             31.21            164.99        1000
16384                 119.65             37.37            183.81         100
32768                 176.64             49.19            273.92         100
65536                 347.29            187.32            483.19         100
131072                459.10            272.01            604.40         100
262144                660.93            359.63            803.01         100
524288               1057.48            608.44           1351.94         100
1048576              1896.08            999.59           2412.26         100
