
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      89.67             51.81            128.90        1000
2                      89.01             48.83            124.81        1000
4                      89.60             49.40            126.42        1000
8                     188.06            143.99            235.11        1000
16                    188.66            144.60            234.81        1000
32                    189.38            145.42            236.00        1000
64                    189.40            145.98            235.82        1000
128                   188.74            148.19            231.88        1000
256                   191.09            158.25            226.17        1000
512                   187.48            144.49            231.12        1000
1024                  187.60            144.23            232.39        1000
2048                  187.83            144.69            232.40        1000
4096                  199.11            154.12            243.11        1000
8192                  229.41            163.25            289.90        1000
16384                 262.32            186.27            331.24         100
32768                 291.85            201.74            384.21         100
65536                 384.21            266.95            500.54         100
131072                738.14            569.51            908.90         100
262144               1174.91            963.15           1371.16         100
524288               1802.61           1484.97           2053.58         100
1048576              2515.90           2188.43           2769.43         100
