
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      72.22              8.88            112.99        1000
2                      55.29              8.92             90.79        1000
4                      47.15              8.86             78.64        1000
8                      47.97              8.95             79.97        1000
16                     47.78              8.91             80.13        1000
32                     50.73              8.92             84.20        1000
64                     49.72              8.91             82.84        1000
128                    49.19              8.92             82.03        1000
256                    49.28              9.25             81.37        1000
512                    53.76              8.96             86.91        1000
1024                   61.05              8.99             98.79        1000
2048                   88.12              9.36            154.01        1000
4096                   95.75              9.98            177.57        1000
8192                  112.48             10.65            193.54        1000
16384                 135.33             13.70            237.48         100
32768                 210.90             17.52            347.33         100
65536                 502.03            143.79            762.90         100
131072                638.40            157.39            972.51         100
262144               1063.74            222.93           1591.65         100
524288               1718.37            330.81           2477.42         100
1048576              3113.81            584.46           4385.62         100
