
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      79.17             58.67            113.47        1000
2                      51.09             37.29             68.75        1000
4                      43.75             29.47             59.84        1000
8                     211.34            206.15            218.86        1000
16                    210.68            204.73            219.54        1000
32                    212.87            205.56            221.68        1000
64                    211.95            206.41            219.28        1000
128                   211.31            204.71            218.31        1000
256                   212.95            207.33            220.40        1000
512                   216.50            210.89            223.40        1000
1024                  232.37            225.16            239.49        1000
2048                  276.52            264.98            285.71        1000
4096                  320.61            310.75            330.40        1000
8192                  377.93            356.57            401.87        1000
16384                 473.42            446.02            493.98         100
32768                 538.91            518.86            575.14         100
65536                 665.25            596.26            714.80         100
131072               1014.98            906.69           1097.45         100
262144               1459.69           1340.82           1548.14         100
524288               2926.77           2851.98           3010.51         100
1048576              3729.44           3683.65           3776.49         100
