
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      75.67             52.00            107.47        1000
2                      50.35             32.62             65.97        1000
4                      44.19             29.16             59.71        1000
8                     105.46             92.08            119.51        1000
16                    106.16             92.36            121.02        1000
32                    105.69             91.66            119.92        1000
64                    105.71             91.42            121.53        1000
128                   108.57             92.38            122.88        1000
256                   112.38             94.47            129.26        1000
512                   119.51             98.78            137.64        1000
1024                  125.57            104.75            147.95        1000
2048                  145.72            126.38            162.38        1000
4096                  172.01            145.09            197.42        1000
8192                  206.33            169.23            243.13        1000
16384                 251.56            211.16            297.96         100
32768                 283.91            231.66            324.45         100
65536                 452.98            372.46            541.18         100
131072                905.53            756.86           1082.45         100
262144               1439.01           1281.18           1582.22         100
524288               2317.15           2252.15           2434.85         100
1048576              3276.66           3090.06           3485.92         100
