
# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                     126.00              4.89            215.61        1000
2                      54.30             12.70             72.54        1000
4                      52.86             12.74             70.77        1000
8                      53.45             12.73             71.62        1000
16                     52.93             12.72             70.80        1000
32                     53.34             12.73             71.32        1000
64                     53.46             12.74             70.34        1000
128                    53.83             12.76             70.31        1000
256                    55.61             12.90             71.42        1000
512                    61.11             12.72             76.77        1000
1024                   69.23             12.78             91.71        1000
2048                   83.62             12.84            109.52        1000
4096                  115.54             13.65            151.13        1000
8192                  120.96             14.26            159.82        1000
16384                 144.82             15.42            197.48         100
32768                 231.45             19.00            290.23         100
65536                 294.76             27.21            380.81         100
131072                834.99            672.58            961.76         100
262144               1134.50            821.69           1355.74         100
524288               1761.77           1269.61           2175.05         100
1048576              2908.51           2073.19           3519.86         100
