System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,13:16:17.902,0.00,0.16,0.00,0.68,0.00,0.02,0.79,0.07,0.00,0.01,0.00,0.00,1.10,6.96,241.00,0.32,7.89,0.00,0.03,0.53,0.58,0.00,98.88,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.68,0.00,0.02,0.79,0.07,0.00,0.01,0.00,0.00,N/A,1.10,6.96,241.00,0.32,7.89,0.00,0.03,0.53,0.58,0.00,98.88,100.00,0.00,0.00,0.00,
2023-05-04,13:16:18.002,0.00,0.15,0.00,0.68,0.00,0.01,0.95,0.07,0.00,0.01,0.00,0.00,1.07,7.15,238.76,0.30,7.49,0.00,0.03,0.55,0.55,0.00,98.90,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.68,0.00,0.01,0.95,0.07,0.00,0.01,0.00,0.00,N/A,1.07,7.15,238.76,0.30,7.49,0.00,0.03,0.55,0.55,0.00,98.90,100.00,0.00,0.00,0.00,
2023-05-04,13:16:18.103,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.08,0.00,0.01,0.00,0.00,0.99,5.59,240.88,0.35,8.87,0.00,0.03,0.43,0.36,0.00,99.20,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.08,0.00,0.01,0.00,0.00,N/A,0.99,5.59,240.88,0.35,8.87,0.00,0.03,0.43,0.36,0.00,99.20,100.00,0.00,0.00,0.00,
2023-05-04,13:16:18.202,0.00,0.16,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,0.85,5.22,238.51,0.33,8.18,0.00,0.02,0.41,0.34,0.00,99.25,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,N/A,0.85,5.22,238.51,0.33,8.18,0.00,0.02,0.41,0.34,0.00,99.25,100.00,0.00,0.00,0.00,
2023-05-04,13:16:18.303,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.70,3.83,240.94,0.36,9.10,0.00,0.02,0.30,0.24,0.00,99.46,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.70,3.83,240.94,0.36,9.10,0.00,0.02,0.30,0.24,0.00,99.46,100.00,0.00,0.00,0.00,
2023-05-04,13:16:18.404,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,0.88,4.95,240.90,0.36,8.91,0.00,0.02,0.39,0.35,0.40,98.87,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,N/A,0.88,4.95,240.90,0.36,8.91,0.00,0.02,0.39,0.35,0.40,98.87,100.00,0.00,0.00,0.00,
2023-05-04,13:16:18.503,0.00,0.17,0.01,0.67,0.01,0.02,0.72,0.11,0.00,0.01,0.00,0.00,1.79,10.88,238.51,0.33,8.25,0.00,0.05,0.85,0.90,0.18,98.07,100.00,0.00,0.00,0.00,0.00,0.17,0.01,0.67,0.01,0.02,0.72,0.11,0.00,0.01,0.00,0.00,N/A,1.79,10.88,238.51,0.33,8.25,0.00,0.05,0.85,0.90,0.18,98.07,100.00,0.00,0.00,0.00,
2023-05-04,13:16:18.604,0.00,0.22,0.00,0.67,0.00,0.01,0.92,0.08,0.00,0.01,0.00,0.00,1.18,5.31,240.82,0.45,11.14,0.00,0.03,0.41,0.36,0.02,99.21,100.00,0.00,0.00,0.00,0.00,0.22,0.00,0.67,0.00,0.01,0.92,0.08,0.00,0.01,0.00,0.00,N/A,1.18,5.31,240.82,0.45,11.14,0.00,0.03,0.41,0.36,0.02,99.21,100.00,0.00,0.00,0.00,
2023-05-04,13:16:18.704,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,0.73,4.14,238.50,0.35,8.84,0.00,0.02,0.33,0.25,0.00,99.42,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,N/A,0.73,4.14,238.50,0.35,8.84,0.00,0.02,0.33,0.25,0.00,99.42,100.00,0.00,0.00,0.00,
