System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,13:18:20.362,0.00,0.14,0.00,0.77,0.00,0.01,0.75,0.08,0.00,0.01,0.00,0.00,0.76,5.35,240.87,0.28,7.08,0.00,0.02,0.36,0.33,0.00,99.32,5.68,0.00,94.32,0.00,0.00,0.14,0.00,0.77,0.00,0.01,0.75,0.08,0.00,0.01,0.00,0.00,N/A,0.76,5.35,240.87,0.28,7.08,0.00,0.02,0.36,0.33,0.00,99.32,5.68,0.00,94.32,0.00,
2023-05-04,13:18:20.463,0.00,0.14,0.00,0.74,0.00,0.02,0.79,0.06,0.00,0.01,0.00,0.00,1.26,8.94,241.14,0.28,7.04,0.00,0.03,0.63,0.67,0.34,98.36,8.12,1.19,90.69,0.00,0.00,0.14,0.00,0.74,0.00,0.02,0.79,0.06,0.00,0.01,0.00,0.00,N/A,1.26,8.94,241.14,0.28,7.04,0.00,0.03,0.63,0.67,0.34,98.36,8.12,1.19,90.69,0.00,
2023-05-04,13:18:20.562,0.00,0.15,0.00,0.79,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,0.85,5.72,238.59,0.30,7.41,0.00,0.02,0.38,0.37,0.00,99.25,6.01,0.00,93.99,0.00,0.00,0.15,0.00,0.79,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,N/A,0.85,5.72,238.59,0.30,7.41,0.00,0.02,0.38,0.37,0.00,99.25,6.01,0.00,93.99,0.00,
2023-05-04,13:18:20.663,0.00,0.17,0.00,0.77,0.00,0.01,0.76,0.08,0.00,0.01,0.00,0.00,1.22,7.02,241.04,0.35,8.67,0.00,0.03,0.48,0.46,0.00,99.06,6.45,0.00,93.55,0.00,0.00,0.17,0.00,0.77,0.00,0.01,0.76,0.08,0.00,0.01,0.00,0.00,N/A,1.22,7.02,241.04,0.35,8.67,0.00,0.03,0.48,0.46,0.00,99.06,6.45,0.00,93.55,0.00,
2023-05-04,13:18:20.764,0.00,0.15,0.00,0.81,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,0.76,4.90,241.03,0.31,7.71,0.00,0.02,0.32,0.28,0.00,99.40,5.32,0.00,94.68,0.00,0.00,0.15,0.00,0.81,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,N/A,0.76,4.90,241.03,0.31,7.71,0.00,0.02,0.32,0.28,0.00,99.40,5.32,0.00,94.68,0.00,
2023-05-04,13:18:20.863,0.00,0.16,0.00,0.83,0.00,0.01,0.98,0.14,0.00,0.01,0.00,0.00,0.70,4.48,238.62,0.31,7.77,0.00,0.02,0.28,0.21,0.00,99.51,4.93,0.00,95.07,0.00,0.00,0.16,0.00,0.83,0.00,0.01,0.98,0.14,0.00,0.01,0.00,0.00,N/A,0.70,4.48,238.62,0.31,7.77,0.00,0.02,0.28,0.21,0.00,99.51,4.93,0.00,95.07,0.00,
2023-05-04,13:18:20.964,0.00,0.23,0.00,0.82,0.00,0.01,0.91,0.19,0.00,0.01,0.00,0.00,1.41,6.25,241.29,0.45,11.28,0.00,0.04,0.40,0.40,0.03,99.17,6.20,0.00,93.80,0.00,0.00,0.23,0.00,0.82,0.00,0.01,0.91,0.19,0.00,0.01,0.00,0.00,N/A,1.41,6.25,241.29,0.45,11.28,0.00,0.04,0.40,0.40,0.03,99.17,6.20,0.00,93.80,0.00,
2023-05-04,13:18:21.064,0.00,0.16,0.00,0.83,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.72,4.41,238.65,0.33,8.19,0.00,0.02,0.28,0.21,0.00,99.51,5.03,0.00,94.97,0.00,0.00,0.16,0.00,0.83,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.72,4.41,238.65,0.33,8.19,0.00,0.02,0.28,0.21,0.00,99.51,5.03,0.00,94.97,0.00,
2023-05-04,13:18:21.164,0.00,0.14,0.00,0.79,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.78,5.46,240.92,0.28,7.11,0.00,0.02,0.36,0.34,0.12,99.18,5.55,0.34,94.11,0.00,0.00,0.14,0.00,0.79,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.78,5.46,240.92,0.28,7.11,0.00,0.02,0.36,0.34,0.12,99.18,5.55,0.34,94.11,0.00,
2023-05-04,13:18:21.264,0.00,0.16,0.00,0.81,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.73,4.70,238.68,0.31,7.80,0.00,0.02,0.30,0.26,0.00,99.44,5.04,0.00,94.96,0.00,0.00,0.16,0.00,0.81,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.73,4.70,238.68,0.31,7.80,0.00,0.02,0.30,0.26,0.00,99.44,5.04,0.00,94.96,0.00,
2023-05-04,13:18:21.365,0.00,0.15,0.00,0.81,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.76,5.13,241.04,0.30,7.42,0.00,0.02,0.33,0.28,0.00,99.39,5.39,0.00,94.61,0.00,0.00,0.15,0.00,0.81,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.76,5.13,241.04,0.30,7.42,0.00,0.02,0.33,0.28,0.00,99.39,5.39,0.00,94.61,0.00,
2023-05-04,13:18:21.464,0.00,0.17,0.00,0.77,0.00,0.02,0.71,0.06,0.00,0.01,0.00,0.00,1.37,7.83,238.64,0.35,8.73,0.00,0.04,0.54,0.57,0.00,98.89,6.93,0.00,93.07,0.00,0.00,0.17,0.00,0.77,0.00,0.02,0.71,0.06,0.00,0.01,0.00,0.00,N/A,1.37,7.83,238.64,0.35,8.73,0.00,0.04,0.54,0.57,0.00,98.89,6.93,0.00,93.07,0.00,
2023-05-04,13:18:21.564,0.00,0.16,0.00,0.82,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.72,4.60,238.62,0.31,7.83,0.00,0.02,0.29,0.22,0.00,99.49,4.99,0.00,95.01,0.00,0.00,0.16,0.00,0.82,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.72,4.60,238.62,0.31,7.83,0.00,0.02,0.29,0.22,0.00,99.49,4.99,0.00,95.01,0.00,
2023-05-04,13:18:21.665,0.00,0.16,0.00,0.80,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,0.86,5.44,240.98,0.32,7.89,0.00,0.02,0.35,0.33,0.00,99.32,5.89,0.00,94.11,0.00,0.00,0.16,0.00,0.80,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,N/A,0.86,5.44,240.98,0.32,7.89,0.00,0.02,0.35,0.33,0.00,99.32,5.89,0.00,94.11,0.00,
2023-05-04,13:18:21.764,0.00,0.15,0.00,0.78,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,0.89,5.94,238.55,0.30,7.54,0.00,0.02,0.40,0.38,0.00,99.22,5.84,0.00,94.16,0.00,0.00,0.15,0.00,0.78,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,N/A,0.89,5.94,238.55,0.30,7.54,0.00,0.02,0.40,0.38,0.00,99.22,5.84,0.00,94.16,0.00,
