System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,13:22:42.954,0.00,0.14,0.00,0.76,0.00,0.01,0.74,0.05,0.00,0.01,0.00,0.00,0.85,6.19,240.79,0.27,6.84,0.00,0.02,0.42,0.44,0.00,99.14,6.33,0.00,93.67,0.00,0.00,0.14,0.00,0.76,0.00,0.01,0.74,0.05,0.00,0.01,0.00,0.00,N/A,0.85,6.19,240.79,0.27,6.84,0.00,0.02,0.42,0.44,0.00,99.14,6.33,0.00,93.67,0.00,
2023-05-04,13:22:43.054,0.00,0.12,0.00,0.73,0.00,0.01,0.95,0.04,0.00,0.01,0.00,0.00,1.06,8.57,240.88,0.25,6.19,0.00,0.03,0.61,0.73,0.00,98.66,7.86,0.00,92.14,0.00,0.00,0.12,0.00,0.73,0.00,0.01,0.95,0.04,0.00,0.01,0.00,0.00,N/A,1.06,8.57,240.88,0.25,6.19,0.00,0.03,0.61,0.73,0.00,98.66,7.86,0.00,92.14,0.00,
2023-05-04,13:22:43.154,0.00,0.15,0.00,0.82,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,0.73,4.76,238.66,0.31,7.69,0.00,0.02,0.30,0.27,0.00,99.43,5.25,0.00,94.75,0.00,0.00,0.15,0.00,0.82,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,N/A,0.73,4.76,238.66,0.31,7.69,0.00,0.02,0.30,0.27,0.00,99.43,5.25,0.00,94.75,0.00,
2023-05-04,13:22:43.255,0.00,0.13,0.00,0.78,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.84,6.32,241.04,0.27,6.65,0.00,0.02,0.42,0.38,0.08,99.12,5.95,0.18,93.87,0.00,0.00,0.13,0.00,0.78,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.84,6.32,241.04,0.27,6.65,0.00,0.02,0.42,0.38,0.08,99.12,5.95,0.18,93.87,0.00,
2023-05-04,13:22:43.354,0.00,0.15,0.00,0.81,0.00,0.01,0.99,0.09,0.00,0.01,0.00,0.00,0.76,5.03,238.59,0.30,7.56,0.00,0.02,0.33,0.31,0.00,99.36,5.30,0.00,94.70,0.00,0.00,0.15,0.00,0.81,0.00,0.01,0.99,0.09,0.00,0.01,0.00,0.00,N/A,0.76,5.03,238.59,0.30,7.56,0.00,0.02,0.33,0.31,0.00,99.36,5.30,0.00,94.70,0.00,
2023-05-04,13:22:43.455,0.00,0.25,0.00,0.80,0.00,0.01,0.89,0.21,0.00,0.01,0.00,0.00,1.80,7.27,241.09,0.49,12.35,0.00,0.05,0.47,0.44,0.00,99.09,6.53,0.00,93.47,0.00,0.00,0.25,0.00,0.80,0.00,0.01,0.89,0.21,0.00,0.01,0.00,0.00,N/A,1.80,7.27,241.09,0.49,12.35,0.00,0.05,0.47,0.44,0.00,99.09,6.53,0.00,93.47,0.00,
2023-05-04,13:22:43.555,0.00,0.15,0.00,0.79,0.00,0.01,0.76,0.07,0.00,0.01,0.00,0.00,0.89,5.90,238.60,0.30,7.58,0.00,0.02,0.39,0.36,0.05,99.20,5.85,0.00,94.15,0.00,0.00,0.15,0.00,0.79,0.00,0.01,0.76,0.07,0.00,0.01,0.00,0.00,N/A,0.89,5.90,238.60,0.30,7.58,0.00,0.02,0.39,0.36,0.05,99.20,5.85,0.00,94.15,0.00,
2023-05-04,13:22:43.655,0.00,0.16,0.00,0.84,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,0.71,4.29,238.66,0.33,8.24,0.00,0.02,0.27,0.21,0.00,99.52,4.91,0.00,95.09,0.00,0.00,0.16,0.00,0.84,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,N/A,0.71,4.29,238.66,0.33,8.24,0.00,0.02,0.27,0.21,0.00,99.52,4.91,0.00,95.09,0.00,
2023-05-04,13:22:43.755,0.00,0.14,0.00,0.77,0.00,0.01,0.97,0.08,0.00,0.01,0.00,0.00,0.88,6.30,240.99,0.28,6.96,0.00,0.02,0.42,0.43,0.00,99.15,6.24,0.00,93.76,0.00,0.00,0.14,0.00,0.77,0.00,0.01,0.97,0.08,0.00,0.01,0.00,0.00,N/A,0.88,6.30,240.99,0.28,6.96,0.00,0.02,0.42,0.43,0.00,99.15,6.24,0.00,93.76,0.00,
