System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,13:20:40.687,0.00,0.15,0.00,0.67,0.00,0.01,0.91,0.07,0.00,0.01,0.00,0.00,0.90,5.85,240.94,0.31,7.72,0.00,0.02,0.45,0.48,0.00,99.07,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.67,0.00,0.01,0.91,0.07,0.00,0.01,0.00,0.00,N/A,0.90,5.85,240.94,0.31,7.72,0.00,0.02,0.45,0.48,0.00,99.07,100.00,0.00,0.00,0.00,
2023-05-04,13:20:40.787,0.00,0.21,0.00,0.67,0.00,0.01,0.91,0.08,0.00,0.01,0.00,0.00,1.20,5.86,241.05,0.41,10.26,0.00,0.03,0.46,0.45,0.04,99.05,100.00,0.00,0.00,0.00,0.00,0.21,0.00,0.67,0.00,0.01,0.91,0.08,0.00,0.01,0.00,0.00,N/A,1.20,5.86,241.05,0.41,10.26,0.00,0.03,0.46,0.45,0.04,99.05,100.00,0.00,0.00,0.00,
2023-05-04,13:20:40.887,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,0.83,4.75,238.49,0.35,8.72,0.00,0.02,0.37,0.29,0.00,99.34,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,N/A,0.83,4.75,238.49,0.35,8.72,0.00,0.02,0.37,0.29,0.00,99.34,100.00,0.00,0.00,0.00,
2023-05-04,13:20:40.987,0.00,0.18,0.00,0.67,0.00,0.01,0.96,0.10,0.00,0.01,0.00,0.00,0.76,4.32,238.55,0.35,8.85,0.00,0.02,0.34,0.26,0.00,99.40,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.96,0.10,0.00,0.01,0.00,0.00,N/A,0.76,4.32,238.55,0.35,8.85,0.00,0.02,0.34,0.26,0.00,99.40,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.087,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,0.81,4.70,240.89,0.34,8.61,0.00,0.02,0.37,0.31,0.00,99.33,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,N/A,0.81,4.70,240.89,0.34,8.61,0.00,0.02,0.37,0.31,0.00,99.33,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.187,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.70,3.80,238.51,0.37,9.20,0.00,0.02,0.30,0.21,0.00,99.49,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.70,3.80,238.51,0.37,9.20,0.00,0.02,0.30,0.21,0.00,99.49,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.288,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.74,4.23,240.90,0.35,8.79,0.00,0.02,0.33,0.24,0.00,99.43,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.74,4.23,240.90,0.35,8.79,0.00,0.02,0.33,0.24,0.00,99.43,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.388,0.00,0.19,0.00,0.67,0.00,0.02,0.78,0.12,0.00,0.01,0.00,0.00,1.68,8.96,240.90,0.38,9.40,0.00,0.04,0.70,0.73,0.56,98.01,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.02,0.78,0.12,0.00,0.01,0.00,0.00,N/A,1.68,8.96,240.90,0.38,9.40,0.00,0.04,0.70,0.73,0.56,98.01,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.488,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.73,4.03,238.57,0.36,9.06,0.00,0.02,0.32,0.22,0.00,99.46,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.73,4.03,238.57,0.36,9.06,0.00,0.02,0.32,0.22,0.00,99.46,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.589,0.00,0.16,0.00,0.67,0.00,0.01,0.96,0.08,0.00,0.01,0.00,0.00,0.91,5.61,240.90,0.33,8.14,0.00,0.02,0.44,0.38,0.12,99.06,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.96,0.08,0.00,0.01,0.00,0.00,N/A,0.91,5.61,240.90,0.33,8.14,0.00,0.02,0.44,0.38,0.12,99.06,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.688,0.00,0.17,0.00,0.67,0.00,0.01,0.78,0.10,0.00,0.01,0.00,0.00,1.07,6.24,238.52,0.34,8.58,0.00,0.03,0.49,0.46,0.00,99.05,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.78,0.10,0.00,0.01,0.00,0.00,N/A,1.07,6.24,238.52,0.34,8.58,0.00,0.03,0.49,0.46,0.00,99.05,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.788,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.68,3.72,238.52,0.37,9.17,0.00,0.02,0.29,0.21,0.00,99.50,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.68,3.72,238.52,0.37,9.17,0.00,0.02,0.29,0.21,0.00,99.50,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.888,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.76,4.23,240.82,0.36,8.95,0.00,0.02,0.33,0.25,0.10,99.32,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.76,4.23,240.82,0.36,8.95,0.00,0.02,0.33,0.25,0.10,99.32,100.00,0.00,0.00,0.00,
2023-05-04,13:20:41.988,0.00,0.25,0.00,0.67,0.00,0.01,0.74,0.15,0.00,0.01,0.00,0.00,1.10,4.40,238.36,0.50,12.53,0.00,0.03,0.35,0.27,0.00,99.38,100.00,0.00,0.00,0.00,0.00,0.25,0.00,0.67,0.00,0.01,0.74,0.15,0.00,0.01,0.00,0.00,N/A,1.10,4.40,238.36,0.50,12.53,0.00,0.03,0.35,0.27,0.00,99.38,100.00,0.00,0.00,0.00,
