System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,13:24:45.147,0.00,0.15,0.00,0.67,0.00,0.01,0.92,0.07,0.00,0.01,0.00,0.00,0.85,5.67,240.94,0.30,7.45,0.00,0.02,0.44,0.43,0.00,99.13,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.67,0.00,0.01,0.92,0.07,0.00,0.01,0.00,0.00,N/A,0.85,5.67,240.94,0.30,7.45,0.00,0.02,0.44,0.43,0.00,99.13,100.00,0.00,0.00,0.00,
2023-05-04,13:24:45.247,0.00,0.17,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.84,4.89,241.05,0.34,8.60,0.00,0.02,0.38,0.32,0.00,99.30,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.84,4.89,241.05,0.34,8.60,0.00,0.02,0.38,0.32,0.00,99.30,100.00,0.00,0.00,0.00,
2023-05-04,13:24:45.347,0.00,0.13,0.00,0.67,0.00,0.01,0.94,0.06,0.00,0.01,0.00,0.00,1.13,8.73,238.50,0.26,6.50,0.00,0.03,0.69,0.68,0.37,98.27,100.00,0.00,0.00,0.00,0.00,0.13,0.00,0.67,0.00,0.01,0.94,0.06,0.00,0.01,0.00,0.00,N/A,1.13,8.73,238.50,0.26,6.50,0.00,0.03,0.69,0.68,0.37,98.27,100.00,0.00,0.00,0.00,
2023-05-04,13:24:45.448,0.00,0.16,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.81,5.07,240.90,0.32,7.98,0.00,0.02,0.39,0.35,0.00,99.26,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.81,5.07,240.90,0.32,7.98,0.00,0.02,0.39,0.35,0.00,99.26,100.00,0.00,0.00,0.00,
2023-05-04,13:24:45.548,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.79,4.36,240.90,0.36,9.02,0.00,0.02,0.34,0.24,0.00,99.42,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.79,4.36,240.90,0.36,9.02,0.00,0.02,0.34,0.24,0.00,99.42,100.00,0.00,0.00,0.00,
2023-05-04,13:24:45.648,0.00,0.17,0.00,0.67,0.00,0.01,0.78,0.11,0.00,0.01,0.00,0.00,0.99,5.67,238.50,0.35,8.71,0.00,0.03,0.45,0.41,0.00,99.15,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.78,0.11,0.00,0.01,0.00,0.00,N/A,0.99,5.67,238.50,0.35,8.71,0.00,0.03,0.45,0.41,0.00,99.15,100.00,0.00,0.00,0.00,
2023-05-04,13:24:45.749,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,0.81,4.45,240.98,0.37,9.14,0.00,0.02,0.35,0.28,0.00,99.37,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,N/A,0.81,4.45,240.98,0.37,9.14,0.00,0.02,0.35,0.28,0.00,99.37,100.00,0.00,0.00,0.00,
2023-05-04,13:24:45.849,0.00,0.16,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.74,4.51,240.87,0.33,8.21,0.00,0.02,0.35,0.26,0.00,99.39,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.74,4.51,240.87,0.33,8.21,0.00,0.02,0.35,0.26,0.00,99.39,100.00,0.00,0.00,0.00,
2023-05-04,13:24:45.949,0.00,0.23,0.00,0.67,0.00,0.01,0.91,0.08,0.00,0.01,0.00,0.00,1.13,4.87,238.48,0.46,11.60,0.00,0.03,0.38,0.36,0.00,99.26,100.00,0.00,0.00,0.00,0.00,0.23,0.00,0.67,0.00,0.01,0.91,0.08,0.00,0.01,0.00,0.00,N/A,1.13,4.87,238.48,0.46,11.60,0.00,0.03,0.38,0.36,0.00,99.26,100.00,0.00,0.00,0.00,
