System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,13:26:47.488,0.00,0.12,0.00,0.67,0.00,0.01,0.79,0.06,0.00,0.02,0.00,0.00,0.94,7.56,241.17,0.25,6.19,0.00,0.02,0.59,0.65,0.00,98.76,100.00,0.00,0.00,0.00,0.00,0.12,0.00,0.67,0.00,0.01,0.79,0.06,0.00,0.02,0.00,0.00,N/A,0.94,7.56,241.17,0.25,6.19,0.00,0.02,0.59,0.65,0.00,98.76,100.00,0.00,0.00,0.00,
2023-05-04,13:26:47.589,0.00,0.17,0.00,0.67,0.00,0.01,0.94,0.08,0.00,0.01,0.00,0.00,1.02,6.08,241.06,0.34,8.38,0.00,0.03,0.47,0.51,0.00,99.02,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.94,0.08,0.00,0.01,0.00,0.00,N/A,1.02,6.08,241.06,0.34,8.38,0.00,0.03,0.47,0.51,0.00,99.02,100.00,0.00,0.00,0.00,
2023-05-04,13:26:47.688,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.76,4.39,238.52,0.34,8.61,0.00,0.02,0.34,0.30,0.19,99.17,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.76,4.39,238.52,0.34,8.61,0.00,0.02,0.34,0.30,0.19,99.17,100.00,0.00,0.00,0.00,
2023-05-04,13:26:47.789,0.00,0.15,0.00,0.67,0.00,0.01,0.85,0.07,0.00,0.01,0.00,0.00,1.00,6.52,240.92,0.31,7.68,0.00,0.03,0.51,0.52,0.28,98.69,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.67,0.00,0.01,0.85,0.07,0.00,0.01,0.00,0.00,N/A,1.00,6.52,240.92,0.31,7.68,0.00,0.03,0.51,0.52,0.28,98.69,100.00,0.00,0.00,0.00,
2023-05-04,13:26:47.889,0.00,0.16,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.88,5.36,238.72,0.33,8.23,0.00,0.02,0.42,0.41,0.11,99.06,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.88,5.36,238.72,0.33,8.23,0.00,0.02,0.42,0.41,0.11,99.06,100.00,0.00,0.00,0.00,
2023-05-04,13:26:47.989,0.00,0.21,0.00,0.67,0.00,0.01,0.89,0.14,0.00,0.01,0.00,0.00,1.81,8.55,240.95,0.42,10.62,0.00,0.05,0.67,0.72,0.23,98.38,100.00,0.00,0.00,0.00,0.00,0.21,0.00,0.67,0.00,0.01,0.89,0.14,0.00,0.01,0.00,0.00,N/A,1.81,8.55,240.95,0.42,10.62,0.00,0.05,0.67,0.72,0.23,98.38,100.00,0.00,0.00,0.00,
2023-05-04,13:26:48.090,0.00,0.19,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.87,4.58,240.95,0.38,9.48,0.00,0.02,0.36,0.36,0.00,99.28,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.87,4.58,240.95,0.38,9.48,0.00,0.02,0.36,0.36,0.00,99.28,100.00,0.00,0.00,0.00,
2023-05-04,13:26:48.190,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.82,4.75,238.57,0.35,8.66,0.00,0.02,0.37,0.31,0.00,99.32,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.82,4.75,238.57,0.35,8.66,0.00,0.02,0.37,0.31,0.00,99.32,100.00,0.00,0.00,0.00,
2023-05-04,13:26:48.290,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.68,3.66,240.89,0.37,9.25,0.00,0.02,0.29,0.21,0.00,99.50,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.68,3.66,240.89,0.37,9.25,0.00,0.02,0.29,0.21,0.00,99.50,100.00,0.00,0.00,0.00,
