System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:42:59.787,0.00,0.16,0.00,0.67,0.00,0.01,0.76,0.10,0.00,0.02,0.00,0.00,0.70,4.29,240.94,0.33,8.21,0.00,0.02,0.33,0.31,0.00,99.35,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.76,0.10,0.00,0.02,0.00,0.00,N/A,0.70,4.29,240.94,0.33,8.21,0.00,0.02,0.33,0.31,0.00,99.35,100.00,0.00,0.00,0.00,
2023-05-04,11:42:59.888,0.00,0.17,0.00,0.67,0.00,0.01,0.96,0.08,0.00,0.01,0.00,0.00,0.98,5.87,241.12,0.33,8.37,0.00,0.03,0.46,0.50,0.00,99.05,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.96,0.08,0.00,0.01,0.00,0.00,N/A,0.98,5.87,241.12,0.33,8.37,0.00,0.03,0.46,0.50,0.00,99.05,100.00,0.00,0.00,0.00,
2023-05-04,11:42:59.987,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.71,3.87,238.55,0.37,9.17,0.00,0.02,0.30,0.23,0.00,99.47,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.71,3.87,238.55,0.37,9.17,0.00,0.02,0.30,0.23,0.00,99.47,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.088,0.00,0.20,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,0.82,4.09,240.96,0.40,10.02,0.00,0.02,0.32,0.28,0.00,99.40,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,N/A,0.82,4.09,240.96,0.40,10.02,0.00,0.02,0.32,0.28,0.00,99.40,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.189,0.00,0.15,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.88,5.91,240.94,0.30,7.41,0.00,0.02,0.46,0.49,0.07,98.98,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.88,5.91,240.94,0.30,7.41,0.00,0.02,0.46,0.49,0.07,98.98,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.288,0.00,0.23,0.00,0.67,0.00,0.01,0.93,0.19,0.00,0.01,0.00,0.00,1.49,6.58,238.42,0.45,11.34,0.00,0.04,0.52,0.52,0.00,98.96,100.00,0.00,0.00,0.00,0.00,0.23,0.00,0.67,0.00,0.01,0.93,0.19,0.00,0.01,0.00,0.00,N/A,1.49,6.58,238.42,0.45,11.34,0.00,0.04,0.52,0.52,0.00,98.96,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.389,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.12,0.00,0.01,0.00,0.00,0.74,3.98,240.97,0.37,9.31,0.00,0.02,0.31,0.27,0.00,99.42,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.12,0.00,0.01,0.00,0.00,N/A,0.74,3.98,240.97,0.37,9.31,0.00,0.02,0.31,0.27,0.00,99.42,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.489,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.78,4.40,238.61,0.36,8.93,0.00,0.02,0.35,0.29,0.00,99.37,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.78,4.40,238.61,0.36,8.93,0.00,0.02,0.35,0.29,0.00,99.37,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.588,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.72,3.86,238.57,0.37,9.28,0.00,0.02,0.30,0.23,0.00,99.47,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.72,3.86,238.57,0.37,9.28,0.00,0.02,0.30,0.23,0.00,99.47,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.689,0.00,0.26,0.00,0.67,0.00,0.01,0.90,0.19,0.00,0.01,0.00,0.00,1.96,7.62,241.12,0.52,12.89,0.00,0.05,0.59,0.63,0.15,98.63,100.00,0.00,0.00,0.00,0.00,0.26,0.00,0.67,0.00,0.01,0.90,0.19,0.00,0.01,0.00,0.00,N/A,1.96,7.62,241.12,0.52,12.89,0.00,0.05,0.59,0.63,0.15,98.63,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.789,0.00,0.17,0.00,0.67,0.00,0.01,0.88,0.09,0.00,0.01,0.00,0.00,0.85,5.09,238.55,0.33,8.35,0.00,0.02,0.40,0.38,0.00,99.22,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.88,0.09,0.00,0.01,0.00,0.00,N/A,0.85,5.09,238.55,0.33,8.35,0.00,0.02,0.40,0.38,0.00,99.22,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.889,0.00,0.22,0.00,0.67,0.00,0.01,0.96,0.12,0.00,0.01,0.00,0.00,1.06,4.94,240.95,0.43,10.75,0.00,0.03,0.38,0.35,0.00,99.27,100.00,0.00,0.00,0.00,0.00,0.22,0.00,0.67,0.00,0.01,0.96,0.12,0.00,0.01,0.00,0.00,N/A,1.06,4.94,240.95,0.43,10.75,0.00,0.03,0.38,0.35,0.00,99.27,100.00,0.00,0.00,0.00,
2023-05-04,11:43:00.989,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,0.82,4.28,238.57,0.38,9.58,0.00,0.02,0.34,0.30,0.00,99.37,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,N/A,0.82,4.28,238.57,0.38,9.58,0.00,0.02,0.34,0.30,0.00,99.37,100.00,0.00,0.00,0.00,
2023-05-04,11:43:01.090,0.00,0.19,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.92,4.74,240.83,0.39,9.70,0.00,0.02,0.37,0.33,0.11,99.20,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.92,4.74,240.83,0.39,9.70,0.00,0.02,0.37,0.33,0.11,99.20,100.00,0.00,0.00,0.00,
2023-05-04,11:43:01.190,0.00,0.18,0.00,0.67,0.00,0.01,0.74,0.09,0.00,0.01,0.00,0.00,0.85,4.80,240.96,0.35,8.86,0.00,0.02,0.37,0.33,0.00,99.30,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.74,0.09,0.00,0.01,0.00,0.00,N/A,0.85,4.80,240.96,0.35,8.86,0.00,0.02,0.37,0.33,0.00,99.30,100.00,0.00,0.00,0.00,
2023-05-04,11:43:01.290,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.83,4.37,238.57,0.38,9.46,0.00,0.02,0.34,0.30,0.00,99.36,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.83,4.37,238.57,0.38,9.46,0.00,0.02,0.34,0.30,0.00,99.36,100.00,0.00,0.00,0.00,
2023-05-04,11:43:01.391,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.73,4.26,240.94,0.34,8.61,0.00,0.02,0.33,0.30,0.00,99.37,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.73,4.26,240.94,0.34,8.61,0.00,0.02,0.33,0.30,0.00,99.37,100.00,0.00,0.00,0.00,
2023-05-04,11:43:01.490,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.83,4.38,238.56,0.38,9.42,0.00,0.02,0.34,0.32,0.00,99.34,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.83,4.38,238.56,0.38,9.42,0.00,0.02,0.34,0.32,0.00,99.34,100.00,0.00,0.00,0.00,
2023-05-04,11:43:01.590,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,0.76,4.31,238.56,0.35,8.86,0.00,0.02,0.34,0.28,0.00,99.38,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,N/A,0.76,4.31,238.56,0.35,8.86,0.00,0.02,0.34,0.28,0.00,99.38,100.00,0.00,0.00,0.00,
2023-05-04,11:43:01.691,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.84,4.73,240.96,0.35,8.87,0.00,0.02,0.37,0.32,0.00,99.31,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.84,4.73,240.96,0.35,8.87,0.00,0.02,0.37,0.32,0.00,99.31,100.00,0.00,0.00,0.00,
2023-05-04,11:43:01.790,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.73,3.65,238.56,0.40,10.06,0.00,0.02,0.29,0.22,0.00,99.49,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.73,3.65,238.56,0.40,10.06,0.00,0.02,0.29,0.22,0.00,99.49,100.00,0.00,0.00,0.00,
2023-05-04,11:43:01.891,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,0.81,4.40,240.95,0.37,9.15,0.00,0.02,0.34,0.30,0.00,99.35,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,N/A,0.81,4.40,240.95,0.37,9.15,0.00,0.02,0.34,0.30,0.00,99.35,100.00,0.00,0.00,0.00,
2023-05-04,11:43:01.990,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.77,4.16,238.56,0.37,9.25,0.00,0.02,0.33,0.26,0.00,99.42,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.77,4.16,238.56,0.37,9.25,0.00,0.02,0.33,0.26,0.00,99.42,100.00,0.00,0.00,0.00,
2023-05-04,11:43:02.090,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.76,3.93,238.54,0.39,9.73,0.00,0.02,0.31,0.28,0.00,99.41,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.76,3.93,238.54,0.39,9.73,0.00,0.02,0.31,0.28,0.00,99.41,100.00,0.00,0.00,0.00,
2023-05-04,11:43:02.191,0.00,0.21,0.00,0.67,0.00,0.01,0.96,0.08,0.00,0.01,0.00,0.00,1.05,5.08,241.11,0.41,10.31,0.00,0.03,0.40,0.38,0.00,99.22,100.00,0.00,0.00,0.00,0.00,0.21,0.00,0.67,0.00,0.01,0.96,0.08,0.00,0.01,0.00,0.00,N/A,1.05,5.08,241.11,0.41,10.31,0.00,0.03,0.40,0.38,0.00,99.22,100.00,0.00,0.00,0.00,
2023-05-04,11:43:02.290,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.76,4.30,238.55,0.35,8.86,0.00,0.02,0.34,0.27,0.00,99.40,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.76,4.30,238.55,0.35,8.86,0.00,0.02,0.34,0.27,0.00,99.40,100.00,0.00,0.00,0.00,
2023-05-04,11:43:02.391,0.00,0.20,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.81,4.01,240.95,0.40,10.10,0.00,0.02,0.31,0.29,0.00,99.40,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.81,4.01,240.95,0.40,10.10,0.00,0.02,0.31,0.29,0.00,99.40,100.00,0.00,0.00,0.00,
2023-05-04,11:43:02.491,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.71,4.11,238.54,0.35,8.68,0.00,0.02,0.32,0.25,0.00,99.43,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.71,4.11,238.54,0.35,8.68,0.00,0.02,0.32,0.25,0.00,99.43,100.00,0.00,0.00,0.00,
2023-05-04,11:43:02.591,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.80,4.39,240.97,0.36,9.08,0.00,0.02,0.34,0.29,0.00,99.37,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.80,4.39,240.97,0.36,9.08,0.00,0.02,0.34,0.29,0.00,99.37,100.00,0.00,0.00,0.00,
2023-05-04,11:43:02.692,0.00,0.17,0.00,0.67,0.00,0.01,0.76,0.07,0.00,0.01,0.00,0.00,0.90,5.21,240.93,0.34,8.62,0.00,0.02,0.41,0.38,0.00,99.22,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.76,0.07,0.00,0.01,0.00,0.00,N/A,0.90,5.21,240.93,0.34,8.62,0.00,0.02,0.41,0.38,0.00,99.22,100.00,0.00,0.00,0.00,
2023-05-04,11:43:02.792,0.00,0.20,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,0.79,3.95,238.63,0.40,10.00,0.00,0.02,0.31,0.27,0.00,99.42,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,N/A,0.79,3.95,238.63,0.40,10.00,0.00,0.02,0.31,0.27,0.00,99.42,100.00,0.00,0.00,0.00,
2023-05-04,11:43:02.892,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.69,3.79,240.89,0.37,9.17,0.00,0.02,0.29,0.23,0.00,99.48,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.69,3.79,240.89,0.37,9.17,0.00,0.02,0.29,0.23,0.00,99.48,100.00,0.00,0.00,0.00,
2023-05-04,11:43:02.992,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.76,4.03,238.56,0.38,9.41,0.00,0.02,0.32,0.27,0.00,99.41,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.76,4.03,238.56,0.38,9.41,0.00,0.02,0.32,0.27,0.00,99.41,100.00,0.00,0.00,0.00,
2023-05-04,11:43:03.093,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.71,3.67,240.95,0.39,9.72,0.00,0.02,0.29,0.21,0.00,99.50,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.71,3.67,240.95,0.39,9.72,0.00,0.02,0.29,0.21,0.00,99.50,100.00,0.00,0.00,0.00,
