System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:57:29.815,0.00,0.15,0.00,0.67,0.00,0.01,0.75,0.10,0.00,0.01,0.00,0.00,0.78,5.04,241.20,0.31,7.70,0.00,0.02,0.39,0.41,0.00,99.19,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.67,0.00,0.01,0.75,0.10,0.00,0.01,0.00,0.00,N/A,0.78,5.04,241.20,0.31,7.70,0.00,0.02,0.39,0.41,0.00,99.19,100.00,0.00,0.00,0.00,
2023-05-04,11:57:29.915,0.00,0.20,0.00,0.67,0.01,0.01,0.65,0.07,0.01,0.01,0.00,0.00,1.03,5.07,238.69,0.41,10.18,0.00,0.03,0.40,0.33,0.29,98.98,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.01,0.01,0.65,0.07,0.01,0.01,0.00,0.00,N/A,1.03,5.07,238.69,0.41,10.18,0.00,0.03,0.40,0.33,0.29,98.98,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.016,0.00,0.20,0.00,0.67,0.00,0.01,0.92,0.08,0.00,0.01,0.00,0.00,1.17,5.94,240.90,0.39,9.84,0.00,0.03,0.46,0.45,0.00,99.09,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.92,0.08,0.00,0.01,0.00,0.00,N/A,1.17,5.94,240.90,0.39,9.84,0.00,0.03,0.46,0.45,0.00,99.09,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.116,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.13,0.00,0.01,0.00,0.00,0.68,3.52,240.93,0.39,9.72,0.00,0.02,0.27,0.21,0.00,99.51,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.13,0.00,0.01,0.00,0.00,N/A,0.68,3.52,240.93,0.39,9.72,0.00,0.02,0.27,0.21,0.00,99.51,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.216,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.76,4.11,238.56,0.37,9.20,0.00,0.02,0.32,0.26,0.00,99.41,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.76,4.11,238.56,0.37,9.20,0.00,0.02,0.32,0.26,0.00,99.41,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.316,0.00,0.23,0.00,0.67,0.00,0.01,0.92,0.20,0.00,0.01,0.00,0.00,1.40,6.17,240.93,0.46,11.38,0.00,0.04,0.48,0.44,0.00,99.08,100.00,0.00,0.00,0.00,0.00,0.23,0.00,0.67,0.00,0.01,0.92,0.20,0.00,0.01,0.00,0.00,N/A,1.40,6.17,240.93,0.46,11.38,0.00,0.04,0.48,0.44,0.00,99.08,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.416,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.82,4.23,238.46,0.39,9.70,0.00,0.02,0.33,0.31,0.02,99.33,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.82,4.23,238.46,0.39,9.70,0.00,0.02,0.33,0.31,0.02,99.33,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.516,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,0.69,3.72,238.55,0.37,9.20,0.00,0.02,0.29,0.22,0.00,99.49,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,N/A,0.69,3.72,238.55,0.37,9.20,0.00,0.02,0.29,0.22,0.00,99.49,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.616,0.00,0.29,0.00,0.67,0.01,0.02,0.66,0.16,0.00,0.01,0.00,0.00,2.16,7.41,240.93,0.58,14.60,0.00,0.06,0.58,0.55,0.00,98.87,100.00,0.00,0.00,0.00,0.00,0.29,0.00,0.67,0.01,0.02,0.66,0.16,0.00,0.01,0.00,0.00,N/A,2.16,7.41,240.93,0.58,14.60,0.00,0.06,0.58,0.55,0.00,98.87,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.716,0.00,0.18,0.00,0.67,0.01,0.02,0.50,0.06,0.01,0.02,0.00,0.00,1.00,5.46,238.54,0.36,9.12,0.00,0.03,0.43,0.39,0.19,98.99,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.01,0.02,0.50,0.06,0.01,0.02,0.00,0.00,N/A,1.00,5.46,238.54,0.36,9.12,0.00,0.03,0.43,0.39,0.19,98.99,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.817,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.85,4.85,240.94,0.35,8.73,0.00,0.02,0.38,0.39,0.18,99.06,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.85,4.85,240.94,0.35,8.73,0.00,0.02,0.38,0.39,0.18,99.06,100.00,0.00,0.00,0.00,
2023-05-04,11:57:30.916,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.15,0.00,0.01,0.00,0.00,0.73,3.72,238.57,0.39,9.86,0.00,0.02,0.29,0.21,0.00,99.50,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.15,0.00,0.01,0.00,0.00,N/A,0.73,3.72,238.57,0.39,9.86,0.00,0.02,0.29,0.21,0.00,99.50,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.016,0.00,0.19,0.00,0.67,0.00,0.01,0.77,0.08,0.00,0.01,0.00,0.00,1.01,5.32,238.56,0.38,9.52,0.00,0.03,0.42,0.40,0.10,99.08,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.77,0.08,0.00,0.01,0.00,0.00,N/A,1.01,5.32,238.56,0.38,9.52,0.00,0.03,0.42,0.40,0.10,99.08,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.117,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,0.69,3.74,240.95,0.37,9.27,0.00,0.02,0.29,0.22,0.00,99.49,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,N/A,0.69,3.74,240.95,0.37,9.27,0.00,0.02,0.29,0.22,0.00,99.49,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.216,0.00,0.18,0.00,0.67,0.00,0.01,0.77,0.08,0.00,0.01,0.00,0.00,1.03,5.77,238.55,0.36,8.90,0.00,0.03,0.45,0.42,0.00,99.12,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.77,0.08,0.00,0.01,0.00,0.00,N/A,1.03,5.77,238.55,0.36,8.90,0.00,0.03,0.45,0.42,0.00,99.12,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.317,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,0.78,4.31,241.01,0.36,9.10,0.00,0.02,0.34,0.27,0.00,99.40,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,N/A,0.78,4.31,241.01,0.36,9.10,0.00,0.02,0.34,0.27,0.00,99.40,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.418,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.78,4.39,240.78,0.36,8.89,0.00,0.02,0.34,0.32,0.08,99.26,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.78,4.39,240.78,0.36,8.89,0.00,0.02,0.34,0.32,0.08,99.26,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.517,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,0.76,4.02,238.54,0.38,9.50,0.00,0.02,0.32,0.25,0.00,99.43,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,N/A,0.76,4.02,238.54,0.38,9.50,0.00,0.02,0.32,0.25,0.00,99.43,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.618,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.81,4.49,240.93,0.36,9.06,0.00,0.02,0.35,0.29,0.00,99.36,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.81,4.49,240.93,0.36,9.06,0.00,0.02,0.35,0.29,0.00,99.36,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.717,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.76,4.09,238.54,0.37,9.28,0.00,0.02,0.32,0.28,0.00,99.40,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.76,4.09,238.54,0.37,9.28,0.00,0.02,0.32,0.28,0.00,99.40,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.818,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,0.79,4.29,240.94,0.37,9.20,0.00,0.02,0.33,0.31,0.00,99.35,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,N/A,0.79,4.29,240.94,0.37,9.20,0.00,0.02,0.33,0.31,0.00,99.35,100.00,0.00,0.00,0.00,
2023-05-04,11:57:31.919,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.86,4.66,240.94,0.37,9.27,0.00,0.02,0.36,0.30,0.00,99.34,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.86,4.66,240.94,0.37,9.27,0.00,0.02,0.36,0.30,0.00,99.34,100.00,0.00,0.00,0.00,
2023-05-04,11:57:32.018,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.73,3.61,238.55,0.40,10.09,0.00,0.02,0.28,0.21,0.00,99.51,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.73,3.61,238.55,0.40,10.09,0.00,0.02,0.28,0.21,0.00,99.51,100.00,0.00,0.00,0.00,
2023-05-04,11:57:32.119,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.12,0.00,0.01,0.00,0.00,0.76,4.28,240.93,0.36,8.89,0.00,0.02,0.33,0.27,0.00,99.40,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.12,0.00,0.01,0.00,0.00,N/A,0.76,4.28,240.93,0.36,8.89,0.00,0.02,0.33,0.27,0.00,99.40,100.00,0.00,0.00,0.00,
2023-05-04,11:57:32.219,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.12,0.00,0.01,0.00,0.00,0.79,4.07,238.76,0.39,9.73,0.00,0.02,0.32,0.24,0.00,99.44,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.12,0.00,0.01,0.00,0.00,N/A,0.79,4.07,238.76,0.39,9.73,0.00,0.02,0.32,0.24,0.00,99.44,100.00,0.00,0.00,0.00,
2023-05-04,11:57:32.319,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.73,4.00,240.97,0.37,9.16,0.00,0.02,0.31,0.25,0.00,99.44,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.73,4.00,240.97,0.37,9.16,0.00,0.02,0.31,0.25,0.00,99.44,100.00,0.00,0.00,0.00,
2023-05-04,11:57:32.420,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,0.75,3.95,240.91,0.38,9.50,0.00,0.02,0.31,0.23,0.00,99.46,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.13,0.00,0.01,0.00,0.00,N/A,0.75,3.95,240.91,0.38,9.50,0.00,0.02,0.31,0.23,0.00,99.46,100.00,0.00,0.00,0.00,
