System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:55:04.247,0.00,0.14,0.00,0.67,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,0.69,5.08,241.18,0.27,6.78,0.00,0.02,0.40,0.41,0.00,99.20,100.00,0.00,0.00,0.00,0.00,0.14,0.00,0.67,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,N/A,0.69,5.08,241.18,0.27,6.78,0.00,0.02,0.40,0.41,0.00,99.20,100.00,0.00,0.00,0.00,
2023-05-04,11:55:04.347,0.00,0.22,0.00,0.67,0.00,0.02,0.78,0.05,0.00,0.01,0.00,0.00,1.55,6.96,238.70,0.45,11.17,0.00,0.04,0.55,0.57,0.31,98.58,100.00,0.00,0.00,0.00,0.00,0.22,0.00,0.67,0.00,0.02,0.78,0.05,0.00,0.01,0.00,0.00,N/A,1.55,6.96,238.70,0.45,11.17,0.00,0.04,0.55,0.57,0.31,98.58,100.00,0.00,0.00,0.00,
2023-05-04,11:55:04.448,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.74,4.21,240.92,0.35,8.75,0.00,0.02,0.33,0.27,0.00,99.40,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.74,4.21,240.92,0.35,8.75,0.00,0.02,0.33,0.27,0.00,99.40,100.00,0.00,0.00,0.00,
2023-05-04,11:55:04.547,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,0.78,4.13,238.55,0.38,9.48,0.00,0.02,0.32,0.26,0.00,99.41,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,N/A,0.78,4.13,238.55,0.38,9.48,0.00,0.02,0.32,0.26,0.00,99.41,100.00,0.00,0.00,0.00,
2023-05-04,11:55:04.647,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,0.76,4.45,238.53,0.34,8.54,0.00,0.02,0.35,0.30,0.00,99.35,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,N/A,0.76,4.45,238.53,0.34,8.54,0.00,0.02,0.35,0.30,0.00,99.35,100.00,0.00,0.00,0.00,
2023-05-04,11:55:04.747,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.08,0.00,0.01,0.00,0.00,1.01,6.04,240.93,0.34,8.38,0.00,0.03,0.47,0.54,0.00,98.99,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.08,0.00,0.01,0.00,0.00,N/A,1.01,6.04,240.93,0.34,8.38,0.00,0.03,0.47,0.54,0.00,98.99,100.00,0.00,0.00,0.00,
2023-05-04,11:55:04.847,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.69,3.79,238.55,0.36,9.12,0.00,0.02,0.30,0.21,0.00,99.49,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.69,3.79,238.55,0.36,9.12,0.00,0.02,0.30,0.21,0.00,99.49,100.00,0.00,0.00,0.00,
2023-05-04,11:55:04.948,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.78,4.25,240.95,0.37,9.19,0.00,0.02,0.33,0.31,0.00,99.36,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.78,4.25,240.95,0.37,9.19,0.00,0.02,0.33,0.31,0.00,99.36,100.00,0.00,0.00,0.00,
2023-05-04,11:55:05.048,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.67,3.35,240.95,0.40,9.96,0.00,0.02,0.26,0.17,0.00,99.57,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.67,3.35,240.95,0.40,9.96,0.00,0.02,0.26,0.17,0.00,99.57,100.00,0.00,0.00,0.00,
2023-05-04,11:55:05.148,0.00,0.19,0.00,0.67,0.00,0.01,0.75,0.09,0.00,0.01,0.00,0.00,0.92,4.97,238.58,0.37,9.28,0.00,0.02,0.39,0.33,0.00,99.28,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.75,0.09,0.00,0.01,0.00,0.00,N/A,0.92,4.97,238.58,0.37,9.28,0.00,0.02,0.39,0.33,0.00,99.28,100.00,0.00,0.00,0.00,
2023-05-04,11:55:05.249,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.69,3.53,240.95,0.39,9.76,0.00,0.02,0.27,0.23,0.00,99.50,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.69,3.53,240.95,0.39,9.76,0.00,0.02,0.27,0.23,0.00,99.50,100.00,0.00,0.00,0.00,
2023-05-04,11:55:05.348,0.00,0.24,0.00,0.67,0.00,0.02,0.82,0.15,0.00,0.01,0.00,0.00,1.83,7.62,238.60,0.48,11.99,0.00,0.05,0.60,0.57,0.14,98.69,100.00,0.00,0.00,0.00,0.00,0.24,0.00,0.67,0.00,0.02,0.82,0.15,0.00,0.01,0.00,0.00,N/A,1.83,7.62,238.60,0.48,11.99,0.00,0.05,0.60,0.57,0.14,98.69,100.00,0.00,0.00,0.00,
2023-05-04,11:55:05.449,0.00,0.21,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.76,3.66,240.94,0.41,10.37,0.00,0.02,0.29,0.22,0.00,99.50,100.00,0.00,0.00,0.00,0.00,0.21,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.76,3.66,240.94,0.41,10.37,0.00,0.02,0.29,0.22,0.00,99.50,100.00,0.00,0.00,0.00,
2023-05-04,11:55:05.549,0.00,0.19,0.00,0.67,0.01,0.03,0.54,0.06,0.01,0.02,0.00,0.00,1.73,8.92,238.56,0.39,9.69,0.00,0.05,0.70,0.71,0.15,98.45,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.01,0.03,0.54,0.06,0.01,0.02,0.00,0.00,N/A,1.73,8.92,238.56,0.39,9.69,0.00,0.05,0.70,0.71,0.15,98.45,100.00,0.00,0.00,0.00,
