System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:47:49.776,0.00,0.18,0.00,0.67,0.00,0.01,0.94,0.08,0.00,0.01,0.00,0.00,0.86,4.88,240.91,0.35,8.86,0.00,0.02,0.38,0.41,0.00,99.21,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.94,0.08,0.00,0.01,0.00,0.00,N/A,0.86,4.88,240.91,0.35,8.86,0.00,0.02,0.38,0.41,0.00,99.21,100.00,0.00,0.00,0.00,
2023-05-04,11:47:49.875,0.00,0.17,0.00,0.67,0.00,0.01,0.96,0.08,0.00,0.01,0.00,0.00,0.96,5.74,238.71,0.33,8.32,0.00,0.03,0.45,0.47,0.00,99.08,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.96,0.08,0.00,0.01,0.00,0.00,N/A,0.96,5.74,238.71,0.33,8.32,0.00,0.03,0.45,0.47,0.00,99.08,100.00,0.00,0.00,0.00,
2023-05-04,11:47:49.976,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.74,3.76,240.91,0.40,9.88,0.00,0.02,0.29,0.23,0.00,99.48,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.74,3.76,240.91,0.40,9.88,0.00,0.02,0.29,0.23,0.00,99.48,100.00,0.00,0.00,0.00,
2023-05-04,11:47:50.076,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,0.76,4.08,238.56,0.37,9.29,0.00,0.02,0.32,0.25,0.00,99.43,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.97,0.10,0.00,0.01,0.00,0.00,N/A,0.76,4.08,238.56,0.37,9.29,0.00,0.02,0.32,0.25,0.00,99.43,100.00,0.00,0.00,0.00,
2023-05-04,11:47:50.176,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,0.84,4.56,240.92,0.37,9.17,0.00,0.02,0.36,0.33,0.00,99.32,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,N/A,0.84,4.56,240.92,0.37,9.17,0.00,0.02,0.36,0.33,0.00,99.32,100.00,0.00,0.00,0.00,
2023-05-04,11:47:50.277,0.00,0.21,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.67,3.14,240.92,0.42,10.62,0.00,0.02,0.24,0.16,0.00,99.60,100.00,0.00,0.00,0.00,0.00,0.21,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.67,3.14,240.92,0.42,10.62,0.00,0.02,0.24,0.16,0.00,99.60,100.00,0.00,0.00,0.00,
2023-05-04,11:47:50.376,0.00,0.22,0.00,0.67,0.00,0.01,0.93,0.08,0.00,0.01,0.00,0.00,1.04,4.76,238.54,0.44,10.88,0.00,0.03,0.37,0.34,0.00,99.28,100.00,0.00,0.00,0.00,0.00,0.22,0.00,0.67,0.00,0.01,0.93,0.08,0.00,0.01,0.00,0.00,N/A,1.04,4.76,238.54,0.44,10.88,0.00,0.03,0.37,0.34,0.00,99.28,100.00,0.00,0.00,0.00,
2023-05-04,11:47:50.477,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.74,3.77,240.95,0.39,9.78,0.00,0.02,0.29,0.24,0.24,99.23,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.74,3.77,240.95,0.39,9.78,0.00,0.02,0.29,0.24,0.24,99.23,100.00,0.00,0.00,0.00,
2023-05-04,11:47:50.577,0.00,0.26,0.00,0.67,0.00,0.01,0.91,0.17,0.00,0.01,0.00,0.00,1.48,5.78,238.57,0.51,12.76,0.00,0.04,0.45,0.47,0.00,99.08,100.00,0.00,0.00,0.00,0.00,0.26,0.00,0.67,0.00,0.01,0.91,0.17,0.00,0.01,0.00,0.00,N/A,1.48,5.78,238.57,0.51,12.76,0.00,0.04,0.45,0.47,0.00,99.08,100.00,0.00,0.00,0.00,
